Grapheme	Dataset	Absolute	Relative
ʰk	lapsyd	2	0.0001
ʰt	lapsyd	2	0.0001
ⁿdʳ	lapsyd	2	0.0001
ⁿd̠	lapsyd	2	0.0001
tp	lapsyd	2	0.0001
oe	lapsyd	2	0.0001
kx	lapsyd	2	0.0001
ɯa	lapsyd	2	0.0001
ⁿts	lapsyd	2	0.0001
xʼʷ	lapsyd	2	0.0001
ɸʷ	lapsyd	2	0.0001
nˤ	lapsyd	2	0.0001
u̥	lapsyd	2	0.0001
i̥	lapsyd	2	0.0001
ḁ	lapsyd	2	0.0001
ɽʱ	lapsyd	2	0.0001
ɔ̆	lapsyd	2	0.0001
ɹ̪	lapsyd	2	0.0001
ṵ̃	lapsyd	2	0.0001
eɪ	lapsyd	2	0.0001
r̪ʲ	lapsyd	2	0.0001
z̪ʲ	lapsyd	2	0.0001
s̪ʲ	lapsyd	2	0.0001
ð̠	lapsyd	2	0.0001
ɯi	lapsyd	2	0.0001
d̪ɮ	lapsyd	2	0.0001
ɜi	lapsyd	1	0.0001
bˤ	lapsyd	1	0.0001
ʢ	lapsyd	1	0.0001
fˤ	lapsyd	1	0.0001
ḛ̃ə̰̃	lapsyd	1	0.0001
ĩə̃	lapsyd	1	0.0001
ḛə̰	lapsyd	1	0.0001
ṵ̃ə̰̃	lapsyd	1	0.0001
oə	lapsyd	1	0.0001
eo	lapsyd	1	0.0001
õə̃	lapsyd	1	0.0001
ũə̃	lapsyd	1	0.0001
ṵo̰	lapsyd	1	0.0001
ḭ̃ə̰̃	lapsyd	1	0.0001
ɔ̰	lapsyd	1	0.0001
ḭḛ	lapsyd	1	0.0001
o̰ḛ	lapsyd	1	0.0001
oɛ	lapsyd	1	0.0001
eə	lapsyd	1	0.0001
ḭə̰	lapsyd	1	0.0001
ẽə̃	lapsyd	1	0.0001
ṵə̰	lapsyd	1	0.0001
ə̰̃õ̰	lapsyd	1	0.0001
pː	lapsyd	1	0.0001
kː	lapsyd	1	0.0001
tː	lapsyd	1	0.0001
əa	lapsyd	1	0.0001
ɜː	lapsyd	1	0.0001
pʼʷ	lapsyd	1	0.0001
tʃʷʰ	lapsyd	1	0.0001
l̠̥	lapsyd	1	0.0001
ⁿd̠ʲ	lapsyd	1	0.0001
pɸ	lapsyd	1	0.0001
ɖʳ	lapsyd	1	0.0001
ɓ̥	lapsyd	1	0.0001
ʄ̥	lapsyd	1	0.0001
bβ	lapsyd	1	0.0001
