Grapheme	Dataset	Absolute	Relative
ŭ	UPSID	2	0.0001
ɨ̆	UPSID	2	0.0001
dʒʷ	UPSID	2	0.0001
ɸʲ	UPSID	2	0.0001
ɾʲ	UPSID	2	0.0001
ẽː	UPSID	2	0.0001
əi	UPSID	2	0.0001
ǃ̠ʰ	UPSID	2	0.0001
ⁿǁˀ͓	UPSID	2	0.0001
ⁿǃ̠ˀ	UPSID	2	0.0001
ʁ̞	UPSID	2	0.0001
ɓ̥	UPSID	2	0.0001
ɗ̥	UPSID	2	0.0001
tʷ	UPSID	2	0.0001
ɔ̃ĩ	UPSID	2	0.0001
ɨi	UPSID	2	0.0001
vʱ	UPSID	2	0.0001
ⁿʈ	UPSID	2	0.0001
kʱ	UPSID	2	0.0001
pʱ	UPSID	2	0.0001
tsʱ	UPSID	2	0.0001
tʱ	UPSID	2	0.0001
ɔ̃ː	UPSID	2	0.0001
ɘː	UPSID	2	0.0001
ɵ̞̆	UPSID	2	0.0001
e̠	UPSID	2	0.0001
əː	UPSID	2	0.0001
õ̞ĩ	UPSID	2	0.0001
ũĩ	UPSID	2	0.0001
n̪̰	UPSID	2	0.0001
ɾ̪	UPSID	2	0.0001
iu	UPSID	2	0.0001
ⁿbʷ	UPSID	2	0.0001
lˤ	UPSID	2	0.0001
sˤ	UPSID	2	0.0001
dʑ	UPSID	2	0.0001
tʃˀ	UPSID	2	0.0001
ɯi	UPSID	2	0.0001
ǃ	UPSID	2	0.0001
ŋǃ	UPSID	2	0.0001
ⁿǀʰ͓	UPSID	2	0.0001
ŋǃˀ	UPSID	2	0.0001
gǀ͓	UPSID	2	0.0001
aˤː	UPSID	2	0.0001
ẽ̞ĩ	UPSID	2	0.0001
o̞a	UPSID	2	0.0001
æi	UPSID	2	0.0001
xʼ	UPSID	2	0.0001
ⁿɖʐ	UPSID	2	0.0001
tθ̠	UPSID	2	0.0001
ⁿdz̪	UPSID	2	0.0001
nʱ	UPSID	2	0.0001
ø̞ː	UPSID	2	0.0001
ʔˤ	UPSID	2	0.0001
nʷ	UPSID	2	0.0001
ⁿz	UPSID	2	0.0001
ɯa	UPSID	2	0.0001
kʷˀ	UPSID	2	0.0001
ɰ̰	UPSID	2	0.0001
ɬʼ	UPSID	2	0.0001
pfʼ	UPSID	1	0.0001
bⁿ	UPSID	1	0.0001
d̠ⁿ	UPSID	1	0.0001
d̪ⁿ	UPSID	1	0.0001
dⁿ	UPSID	1	0.0001
ɖⁿ	UPSID	1	0.0001
gⁿ	UPSID	1	0.0001
cçʷ	UPSID	1	0.0001
çʷ	UPSID	1	0.0001
ɟʝʷ	UPSID	1	0.0001
ɲʷ	UPSID	1	0.0001
ⁿɖ	UPSID	1	0.0001
ɐˤ	UPSID	1	0.0001
ɜi	UPSID	1	0.0001
ʌ̃	UPSID	1	0.0001
dʷ	UPSID	1	0.0001
qχʼʷ	UPSID	1	0.0001
qχʷˤ	UPSID	1	0.0001
qχʼʷˤ	UPSID	1	0.0001
qχʼ	UPSID	1	0.0001
qχˤ	UPSID	1	0.0001
qχʼˤ	UPSID	1	0.0001
qχˤː	UPSID	1	0.0001
sʷː	UPSID	1	0.0001
tɬʷʰ	UPSID	1	0.0001
tɬʼʷ	UPSID	1	0.0001
tʷʰ	UPSID	1	0.0001
zʷ	UPSID	1	0.0001
ɬʷ	UPSID	1	0.0001
ɬʷː	UPSID	1	0.0001
ʒʷ	UPSID	1	0.0001
χʷˤː	UPSID	1	0.0001
χˤː	UPSID	1	0.0001
ʈɻ̝̊	UPSID	1	0.0001
s̪ˤ	UPSID	1	0.0001
kxʼː	UPSID	1	0.0001
kxː	UPSID	1	0.0001
qχː	UPSID	1	0.0001
tɬʼː	UPSID	1	0.0001
tɬː	UPSID	1	0.0001
ɞ	UPSID	1	0.0001
kpʰ	UPSID	1	0.0001
ⁿs	UPSID	1	0.0001
pfʰ	UPSID	1	0.0001
aɛ	UPSID	1	0.0001
ø̞	UPSID	1	0.0001
ɑ̃ɔ̃	UPSID	1	0.0001
ɛo̞	UPSID	1	0.0001
ɛ̃ɔ̃	UPSID	1	0.0001
ɒ̤	UPSID	1	0.0001
ʌ̤	UPSID	1	0.0001
ts̪ʲ	UPSID	1	0.0001
i̤ə̤	UPSID	1	0.0001
ṳə̤	UPSID	1	0.0001
ɯ̤ə̤	UPSID	1	0.0001
kxʷʰ	UPSID	1	0.0001
tˠʰ	UPSID	1	0.0001
tθʰ	UPSID	1	0.0001
ỹ	UPSID	1	0.0001
ø̆	UPSID	1	0.0001
cçʰ	UPSID	1	0.0001
a˞	UPSID	1	0.0001
ⁿbʲ	UPSID	1	0.0001
tʲʰ	UPSID	1	0.0001
l̃	UPSID	1	0.0001
r̠̙	UPSID	1	0.0001
ⁿkʷ	UPSID	1	0.0001
ⁿc	UPSID	1	0.0001
ⁿtʃʰ	UPSID	1	0.0001
ⁿts̪	UPSID	1	0.0001
ⁿts̪ʰ	UPSID	1	0.0001
ⁿkʰ	UPSID	1	0.0001
ⁿʈʂ	UPSID	1	0.0001
ⁿʈʂʰ	UPSID	1	0.0001
ⁿq	UPSID	1	0.0001
ⁿqʰ	UPSID	1	0.0001
ɛɯ	UPSID	1	0.0001
ᶑ	UPSID	1	0.0001
ɗ̠	UPSID	1	0.0001
ɮ̪	UPSID	1	0.0001
gˡ	UPSID	1	0.0001
ɹ̥	UPSID	1	0.0001
ia̟	UPSID	1	0.0001
ɾ̠	UPSID	1	0.0001
i͓	UPSID	1	0.0001
ʮ	UPSID	1	0.0001
ⁿr	UPSID	1	0.0001
œ̃	UPSID	1	0.0001
ŏ	UPSID	1	0.0001
ɛ̆	UPSID	1	0.0001
tʃʷ	UPSID	1	0.0001
ⱱ	UPSID	1	0.0001
ⁿtɕ	UPSID	1	0.0001
ⁿts	UPSID	1	0.0001
əɯ	UPSID	1	0.0001
bʷˠ	UPSID	1	0.0001
l̥ʲ	UPSID	1	0.0001
l̥ˠ	UPSID	1	0.0001
mʷˠ	UPSID	1	0.0001
nˠ	UPSID	1	0.0001
n̥ʲ	UPSID	1	0.0001
n̥ˠ	UPSID	1	0.0001
pʷˠʰ	UPSID	1	0.0001
ɸʷˠ	UPSID	1	0.0001
ɾˠ	UPSID	1	0.0001
ɾ̥ʲ	UPSID	1	0.0001
ɾ̥ˠ	UPSID	1	0.0001
βʲ	UPSID	1	0.0001
r͓	UPSID	1	0.0001
n̪ʱ	UPSID	1	0.0001
ɽ̃	UPSID	1	0.0001
ɻ̝̊	UPSID	1	0.0001
j̟	UPSID	1	0.0001
ŋ̥m̥	UPSID	1	0.0001
ɭ̊	UPSID	1	0.0001
ɳ̊	UPSID	1	0.0001
bʲʱ	UPSID	1	0.0001
gʷʱ	UPSID	1	0.0001
kpʷ	UPSID	1	0.0001
gbʷ	UPSID	1	0.0001
ḁ	UPSID	1	0.0001
e̞̥	UPSID	1	0.0001
o̞̥	UPSID	1	0.0001
bʷ	UPSID	1	0.0001
ãĩ	UPSID	1	0.0001
ɨ̃ĩ	UPSID	1	0.0001
ɮʲ	UPSID	1	0.0001
ʛ̥	UPSID	1	0.0001
ⁿt̠	UPSID	1	0.0001
ⁿkʲ	UPSID	1	0.0001
t̪ʱ	UPSID	1	0.0001
ɾ̰	UPSID	1	0.0001
tsˀ	UPSID	1	0.0001
tˀ	UPSID	1	0.0001
ɴ	UPSID	1	0.0001
fː	UPSID	1	0.0001
ɬ̪ː	UPSID	1	0.0001
dʒʲ	UPSID	1	0.0001
tʃʲ	UPSID	1	0.0001
ɘ̃ː	UPSID	1	0.0001
ɨ̃ː	UPSID	1	0.0001
fʼ	UPSID	1	0.0001
xʲ	UPSID	1	0.0001
ɣʲ	UPSID	1	0.0001
ɬ̪ʲ	UPSID	1	0.0001
ɬ̪ʼʲ	UPSID	1	0.0001
ɮ̪ʲ	UPSID	1	0.0001
ɹ̠̊˔	UPSID	1	0.0001
ɹ̠˔	UPSID	1	0.0001
ʔʷ	UPSID	1	0.0001
ĕ̞	UPSID	1	0.0001
ŏ̞	UPSID	1	0.0001
ɒ̆	UPSID	1	0.0001
o̟	UPSID	1	0.0001
ʊi	UPSID	1	0.0001
e̞ə	UPSID	1	0.0001
ɯː	UPSID	1	0.0001
d̪ɮ	UPSID	1	0.0001
a̟i	UPSID	1	0.0001
ã̟ĩ	UPSID	1	0.0001
ɜː	UPSID	1	0.0001
ɨa	UPSID	1	0.0001
s̪ʼ	UPSID	1	0.0001
ɕʼ	UPSID	1	0.0001
ʂʼ	UPSID	1	0.0001
ɾ̪̰	UPSID	1	0.0001
ɱ	UPSID	1	0.0001
ɸʷ	UPSID	1	0.0001
s̪ˀ	UPSID	1	0.0001
t̪ˀ	UPSID	1	0.0001
ɐ̆	UPSID	1	0.0001
ɞ̞̆	UPSID	1	0.0001
ʉ̆	UPSID	1	0.0001
r̠	UPSID	1	0.0001
bʼ	UPSID	1	0.0001
dzʼ	UPSID	1	0.0001
dzˠ	UPSID	1	0.0001
dʼ	UPSID	1	0.0001
dˠ	UPSID	1	0.0001
dʒʼ	UPSID	1	0.0001
dʒˠ	UPSID	1	0.0001
ǂ	UPSID	1	0.0001
ǂx	UPSID	1	0.0001
ǂʰ	UPSID	1	0.0001
ǂˡ͓	UPSID	1	0.0001
ǂˡ͓x	UPSID	1	0.0001
ǂˡʰ͓	UPSID	1	0.0001
ǃx	UPSID	1	0.0001
ǃʰ	UPSID	1	0.0001
tsˠ	UPSID	1	0.0001
tˠ	UPSID	1	0.0001
tʃˠ	UPSID	1	0.0001
ŋǂ	UPSID	1	0.0001
ŋǂˡ͓	UPSID	1	0.0001
ŋˤ	UPSID	1	0.0001
ⁿǀ͓	UPSID	1	0.0001
ŋǂʱ	UPSID	1	0.0001
ⁿǂˡ͓	UPSID	1	0.0001
ŋǃʱ	UPSID	1	0.0001
ⁿǀˀ	UPSID	1	0.0001
ⁿǂˀ	UPSID	1	0.0001
ŋǂʰ	UPSID	1	0.0001
ŋǂˀ	UPSID	1	0.0001
ⁿǂˡˀ	UPSID	1	0.0001
ⁿǂˡʰ͓	UPSID	1	0.0001
ⁿǂˡˀ͓	UPSID	1	0.0001
ŋǃˠˀ	UPSID	1	0.0001
gǀ͓x	UPSID	1	0.0001
gǂ	UPSID	1	0.0001
gǂx	UPSID	1	0.0001
gǂˡ͓	UPSID	1	0.0001
gǂˡ͓x	UPSID	1	0.0001
gǃ	UPSID	1	0.0001
gǃx	UPSID	1	0.0001
gʼ	UPSID	1	0.0001
ǀ	UPSID	1	0.0001
gǂʱ	UPSID	1	0.0001
ǂˡ	UPSID	1	0.0001
gǃʱ	UPSID	1	0.0001
ae̞ˤ	UPSID	1	0.0001
ao̞ˤ	UPSID	1	0.0001
ãẽ̞ˤ	UPSID	1	0.0001
ãõ̞ˤ	UPSID	1	0.0001
ãˤ	UPSID	1	0.0001
ãˤː	UPSID	1	0.0001
ẽ̞ũ	UPSID	1	0.0001
o̞aˤ	UPSID	1	0.0001
o̞e̞	UPSID	1	0.0001
o̞iˤ	UPSID	1	0.0001
o̞ˤː	UPSID	1	0.0001
õ̞ã	UPSID	1	0.0001
õ̞ãˤ	UPSID	1	0.0001
õ̞ĩˤ	UPSID	1	0.0001
õ̞ˤ	UPSID	1	0.0001
ɔ̃ˤː	UPSID	1	0.0001
ʊː	UPSID	1	0.0001
ŋ̥ʲ	UPSID	1	0.0001
ĩẽ̞	UPSID	1	0.0001
qʷː	UPSID	1	0.0001
qː	UPSID	1	0.0001
tʃʷː	UPSID	1	0.0001
tsʷː	UPSID	1	0.0001
xʷː	UPSID	1	0.0001
æˤ	UPSID	1	0.0001
ø̞ˤ	UPSID	1	0.0001
d̪̰	UPSID	1	0.0001
ʒʲ	UPSID	1	0.0001
dð	UPSID	1	0.0001
b̪	UPSID	1	0.0001
ø̠	UPSID	1	0.0001
õ̞ũ	UPSID	1	0.0001
hˀ	UPSID	1	0.0001
ɺ̠̰	UPSID	1	0.0001
ã̰	UPSID	1	0.0001
e̞̰	UPSID	1	0.0001
ẽ̞̰	UPSID	1	0.0001
ḭ̃	UPSID	1	0.0001
o̞̰	UPSID	1	0.0001
õ̞̰	UPSID	1	0.0001
ǀˠʰ͓	UPSID	1	0.0001
ǃxʰ	UPSID	1	0.0001
ǃ̠xʰ	UPSID	1	0.0001
ⁿǁʰ͓	UPSID	1	0.0001
ŋǃ̠ʰ	UPSID	1	0.0001
ⁿdʑ	UPSID	1	0.0001
ɸ̞	UPSID	1	0.0001
ɟ̰	UPSID	1	0.0001
kx	UPSID	1	0.0001
t̠ʰ	UPSID	1	0.0001
ɪe̞	UPSID	1	0.0001
ɭ͓	UPSID	1	0.0001
æʉ	UPSID	1	0.0001
øy	UPSID	1	0.0001
ɒ̝	UPSID	1	0.0001
ɔy	UPSID	1	0.0001
ʉː	UPSID	1	0.0001
ɪ̆	UPSID	1	0.0001
ɯ̞̆	UPSID	1	0.0001
ʊ̆	UPSID	1	0.0001
ɲː	UPSID	1	0.0001
ʰk	UPSID	1	0.0001
ʰp	UPSID	1	0.0001
ʰs	UPSID	1	0.0001
ʰt	UPSID	1	0.0001
ʰtʃ	UPSID	1	0.0001
ʰʃ	UPSID	1	0.0001
d̠̰	UPSID	1	0.0001
ɨə	UPSID	1	0.0001
ɺʲ	UPSID	1	0.0001
ɖɻ̝	UPSID	1	0.0001
ʈʳ	UPSID	1	0.0001
l̠ʱ	UPSID	1	0.0001
n̠ʱ	UPSID	1	0.0001
ŋʱ	UPSID	1	0.0001
ʒʱ	UPSID	1	0.0001
a̤i̤	UPSID	1	0.0001
a̤ṳ	UPSID	1	0.0001
a̤ɯ̤	UPSID	1	0.0001
io̞	UPSID	1	0.0001
iɛ	UPSID	1	0.0001
i̤a̤	UPSID	1	0.0001
i̤ṳ	UPSID	1	0.0001
i̤ɛ̤	UPSID	1	0.0001
o̤i̤	UPSID	1	0.0001
ṳa̤	UPSID	1	0.0001
ṳi̤	UPSID	1	0.0001
ɔ̤i̤	UPSID	1	0.0001
ɤi	UPSID	1	0.0001
ɤ̤i̤	UPSID	1	0.0001
ɯ̤i̤	UPSID	1	0.0001
fʷ	UPSID	1	0.0001
vʷ	UPSID	1	0.0001
e̞a	UPSID	1	0.0001
n̪ʲ	UPSID	1	0.0001
r̪ʲ	UPSID	1	0.0001
ʃˠ	UPSID	1	0.0001
ʒˠ	UPSID	1	0.0001
qʷˤʰ	UPSID	1	0.0001
qʼʷˤ	UPSID	1	0.0001
qˤʰ	UPSID	1	0.0001
qʼˤ	UPSID	1	0.0001
ɢʷˤ	UPSID	1	0.0001
ɢˤ	UPSID	1	0.0001
ǀˀ͓	UPSID	1	0.0001
ǁˀ͓	UPSID	1	0.0001
ǃ̠ˀ	UPSID	1	0.0001
gǁ͓	UPSID	1	0.0001
gǃ̠	UPSID	1	0.0001
yø̞	UPSID	1	0.0001
zʲ	UPSID	1	0.0001
ɤ̞ː	UPSID	1	0.0001
dˤ	UPSID	1	0.0001
kˤ	UPSID	1	0.0001
rˤ	UPSID	1	0.0001
tˤ	UPSID	1	0.0001
zˤ	UPSID	1	0.0001
qʷˀ	UPSID	1	0.0001
qˀ	UPSID	1	0.0001
tɬˀ	UPSID	1	0.0001
ʁ̞ʷ	UPSID	1	0.0001
ʁ̞̰ʷ	UPSID	1	0.0001
ɨ̞̃	UPSID	1	0.0001
dzʲ	UPSID	1	0.0001
hʲ	UPSID	1	0.0001
β̞ʲ	UPSID	1	0.0001
ʈˀ	UPSID	1	0.0001
ɖ̰	UPSID	1	0.0001
ʉ̞	UPSID	1	0.0001
ɑ̝	UPSID	1	0.0001
iˠ	UPSID	1	0.0001
ĩˠ	UPSID	1	0.0001
ⁿdʷ	UPSID	1	0.0001
ɣ̰	UPSID	1	0.0001
tθ̠ʰ	UPSID	1	0.0001
l̪̥	UPSID	1	0.0001
tɕʼ	UPSID	1	0.0001
β̞ː	UPSID	1	0.0001
xʼʷ	UPSID	1	0.0001
χʼʷ	UPSID	1	0.0001
χʼ	UPSID	1	0.0001
ɾ͓	UPSID	1	0.0001
iˤː	UPSID	1	0.0001
uˤː	UPSID	1	0.0001
ɨ˞	UPSID	1	0.0001
ɓʲ	UPSID	1	0.0001
ⁿɟʝ	UPSID	1	0.0001
β̞ˠ	UPSID	1	0.0001
ɵ̃	UPSID	1	0.0001
iʌ	UPSID	1	0.0001
uʌ	UPSID	1	0.0001
ɯʌ	UPSID	1	0.0001
ʐ̰	UPSID	1	0.0001
ɬ̪	UPSID	1	0.0001
ʟ̥͓	UPSID	1	0.0001
ɒː	UPSID	1	0.0001
e̞̠	UPSID	1	0.0001
o̞̟	UPSID	1	0.0001
bː	UPSID	1	0.0001
l̪ː	UPSID	1	0.0001
ɟː	UPSID	1	0.0001
cː	UPSID	1	0.0001
ʟ	UPSID	1	0.0001
rˠ	UPSID	1	0.0001
ðʲ	UPSID	1	0.0001
ʔ̬	UPSID	1	0.0001
ɸʼ	UPSID	1	0.0001
ⁿz̪	UPSID	1	0.0001
ɤ̞̟̃	UPSID	1	0.0001
ǃ͓	UPSID	1	0.0001
kʟ̥ʼ	UPSID	1	0.0001
j	ER	391	0.0416
m	ER	391	0.0416
w	ER	391	0.0416
ŋ	ER	391	0.0416
a	ER	391	0.0416
i	ER	391	0.0416
u	ER	388	0.0413
ȵ	ER	378	0.0402
k	ER	321	0.0342
p	ER	321	0.0342
ȶ	ER	312	0.0332
l	ER	267	0.0284
n	ER	267	0.0284
r	ER	265	0.0282
ɻ	ER	262	0.0279
ɳ	ER	259	0.0276
ɭ	ER	248	0.0264
n̪	ER	236	0.0251
t	ER	222	0.0236
ʈ	ER	222	0.0236
ȴ	ER	202	0.0215
t̪	ER	201	0.0214
aː	ER	179	0.0190
iː	ER	158	0.0168
uː	ER	156	0.0166
e	ER	131	0.0139
l̺	ER	124	0.0132
n̺	ER	124	0.0132
r̺	ER	123	0.0131
ɹ̺	ER	112	0.0119
o	ER	98	0.0104
t̺	ER	98	0.0104
l̪	ER	98	0.0104
k͈	ER	70	0.0074
p͈	ER	70	0.0074
p̚	ER	70	0.0074
k̚	ER	69	0.0073
ȶ͈	ER	66	0.0070
ȶ̚	ER	64	0.0068
t͈	ER	45	0.0048
ʈ̚	ER	45	0.0048
t̚	ER	44	0.0047
ʈ͈	ER	44	0.0047
t̪͈	ER	44	0.0047
t̪̚	ER	43	0.0046
ʔ	ER	43	0.0046
eː	ER	30	0.0032
β	ER	29	0.0031
ð	ER	28	0.0030
ɣ	ER	28	0.0030
ə	ER	26	0.0028
t̺͈	ER	24	0.0026
t̺̚	ER	24	0.0026
oː	ER	22	0.0023
ɽ	ER	20	0.0021
ɰ	ER	18	0.0019
ɾ	ER	18	0.0019
ɨ	ER	13	0.0014
kʷ	ER	11	0.0012
ŋʷ	ER	11	0.0012
jʷ	ER	10	0.0011
lʷ	ER	10	0.0011
l̪ʷ	ER	10	0.0011
mʷ	ER	10	0.0011
nʷ	ER	10	0.0011
n̪ʷ	ER	10	0.0011
pʷ	ER	10	0.0011
rʷ	ER	10	0.0011
tʷ	ER	10	0.0011
t̪ʷ	ER	10	0.0011
ȴʷ	ER	10	0.0011
ȵʷ	ER	10	0.0011
ȶʷ	ER	10	0.0011
ɭʷ	ER	10	0.0011
ɳʷ	ER	10	0.0011
ɻʷ	ER	10	0.0011
ʈʷ	ER	10	0.0011
æ	ER	9	0.0010
ø	ER	8	0.0009
ʑ	ER	8	0.0009
ɕ	ER	6	0.0006
ɺ	ER	6	0.0006
ɺ̠̺	ER	6	0.0006
r̺͈	ER	6	0.0006
ɸ	ER	5	0.0005
ɵ	ER	5	0.0005
ʐ	ER	4	0.0004
h	ER	4	0.0004
ɾ̺	ER	4	0.0004
θ	ER	3	0.0003
ʉ	ER	2	0.0002
y	ER	2	0.0002
æː	ER	2	0.0002
ɵː	ER	2	0.0002
x	ER	1	0.0001
z̺	ER	1	0.0001
n̻	ER	1	0.0001
t̻	ER	1	0.0001
ɔ	ER	1	0.0001
ã	ER	1	0.0001
ẽ	ER	1	0.0001
ĩ	ER	1	0.0001
æ̃	ER	1	0.0001
øː	ER	1	0.0001
p	RA	98	0.0238
u	RA	97	0.0236
k	RA	96	0.0233
m	RA	96	0.0233
b	RA	95	0.0231
g	RA	95	0.0231
i	RA	95	0.0231
s	RA	94	0.0228
l	RA	93	0.0226
e	RA	93	0.0226
o	RA	91	0.0221
j	RA	88	0.0214
ŋ	RA	83	0.0202
cç	RA	80	0.0194
d̪	RA	80	0.0194
t̪	RA	80	0.0194
w	RA	80	0.0194
ɟʝ	RA	78	0.0190
a	RA	78	0.0190
ʈ	RA	71	0.0173
ɖ	RA	69	0.0168
n	RA	66	0.0160
pʰ	RA	59	0.0143
h	RA	58	0.0141
ɲ	RA	58	0.0141
kʰ	RA	58	0.0141
r	RA	57	0.0139
ɳ	RA	54	0.0131
n̪	RA	51	0.0124
ç	RA	49	0.0119
ə	RA	46	0.0112
t̪ʰ	RA	46	0.0112
ɔ	RA	46	0.0112
ɽ	RA	46	0.0112
uː	RA	45	0.0109
iː	RA	44	0.0107
ɾ	RA	44	0.0107
ɛ	RA	41	0.0100
cçʰ	RA	41	0.0100
eː	RA	39	0.0095
oː	RA	39	0.0095
z	RA	39	0.0095
aː	RA	37	0.0090
ʈʰ	RA	36	0.0087
ts	RA	36	0.0087
bʱ	RA	35	0.0085
ɭ	RA	34	0.0083
gʱ	RA	33	0.0080
ɪ	RA	30	0.0073
v	RA	29	0.0070
ʊ̃	RA	29	0.0070
ʊ	RA	29	0.0070
ũː	RA	28	0.0068
d̪ʱ	RA	27	0.0066
æ̞̃	RA	27	0.0066
ɖʱ	RA	27	0.0066
õ̞	RA	26	0.0063
ɟʝʱ	RA	26	0.0063
ʂ	RA	26	0.0063
ʔ	RA	25	0.0061
f	RA	24	0.0058
t	RA	24	0.0058
ʌ	RA	24	0.0058
ɪ̃	RA	24	0.0058
ɨ	RA	23	0.0056
d	RA	23	0.0056
dz	RA	23	0.0056
x	RA	21	0.0051
tʰ	RA	17	0.0041
ʝ	RA	16	0.0039
ɦ	RA	16	0.0039
ɑ	RA	16	0.0039
æ	RA	15	0.0036
tsʰ	RA	15	0.0036
lʱ	RA	14	0.0034
e̞	RA	14	0.0034
ɑ̃	RA	13	0.0032
ɯ	RA	11	0.0027
mʱ	RA	11	0.0027
ẽ̞	RA	11	0.0027
u̞	RA	10	0.0024
ɣ	RA	10	0.0024
c	RA	9	0.0022
ɟ	RA	9	0.0022
ɽʱ	RA	9	0.0022
ɛː	RA	8	0.0019
ĩ	RA	8	0.0019
dʱ	RA	8	0.0019
ĩː	RA	8	0.0019
ɑː	RA	7	0.0017
õ	RA	7	0.0017
ə̃	RA	7	0.0017
õː	RA	7	0.0017
ũ	RA	7	0.0017
ə̃ː	RA	7	0.0017
əː	RA	6	0.0015
ɨː	RA	6	0.0015
ã	RA	6	0.0015
ɑ̃ː	RA	6	0.0015
nʱ	RA	5	0.0012
rʱ	RA	5	0.0012
q	RA	5	0.0012
n̪ʱ	RA	5	0.0012
ɔː	RA	5	0.0012
aˑ	RA	4	0.0010
iˑ	RA	4	0.0010
oˑ	RA	4	0.0010
uˑ	RA	4	0.0010
bv	RA	4	0.0010
pf	RA	4	0.0010
ɲʱ	RA	4	0.0010
β	RA	4	0.0010
ð	RA	4	0.0010
ʐ	RA	4	0.0010
r̠ʲ	RA	3	0.0007
eˑ	RA	3	0.0007
θ	RA	3	0.0007
χ	RA	3	0.0007
wʱ	RA	3	0.0007
ɾʱ	RA	3	0.0007
b̰	RA	3	0.0007
t̪̰	RA	3	0.0007
ø	RA	3	0.0007
ɘ	RA	3	0.0007
ë	RA	3	0.0007
üː	RA	3	0.0007
cʱ	RA	3	0.0007
dzʱ	RA	3	0.0007
k̙	RA	2	0.0005
lʲ	RA	2	0.0005
ʌ̃	RA	2	0.0005
ʁ	RA	2	0.0005
ɛ̃	RA	2	0.0005
ɸ	RA	2	0.0005
ä	RA	2	0.0005
ë̞	RA	2	0.0005
ï	RA	2	0.0005
ö	RA	2	0.0005
ɽ̃	RA	2	0.0005
ɽ̩	RA	2	0.0005
ɨ̃ː	RA	2	0.0005
r̥	RA	2	0.0005
ɟʱ	RA	2	0.0005
s̪	RA	2	0.0005
k̰	RA	2	0.0005
p̰	RA	2	0.0005
y	RA	2	0.0005
jʱ	RA	1	0.0002
ɱ	RA	1	0.0002
bʲ	RA	1	0.0002
mʲ	RA	1	0.0002
nʲ	RA	1	0.0002
pʲ	RA	1	0.0002
gʲ	RA	1	0.0002
ɮ	RA	1	0.0002
əˑ	RA	1	0.0002
ɨˑ	RA	1	0.0002
ɭʱ	RA	1	0.0002
g̙	RA	1	0.0002
e̤	RA	1	0.0002
i̤ː	RA	1	0.0002
o̤	RA	1	0.0002
ṳː	RA	1	0.0002
ɑ̤	RA	1	0.0002
ɔ̤	RA	1	0.0002
ə̤	RA	1	0.0002
ɛ̤	RA	1	0.0002
a̰	RA	1	0.0002
ḛ	RA	1	0.0002
o̰	RA	1	0.0002
ṵ	RA	1	0.0002
ɯ̰	RA	1	0.0002
ö̞	RA	1	0.0002
ʊ̈	RA	1	0.0002
ɐ	RA	1	0.0002
ɜ	RA	1	0.0002
ẽː	RA	1	0.0002
pfʰ	RA	1	0.0002
ëː	RA	1	0.0002
ãː	RA	1	0.0002
ẽ	RA	1	0.0002
ɔ̃	RA	1	0.0002
ɔ̃ː	RA	1	0.0002
ŋʱ	RA	1	0.0002
tɬ̪	RA	1	0.0002
tɬ̪ʰ	RA	1	0.0002
ɾ̪̥	RA	1	0.0002
ɾ̪̥ʰ	RA	1	0.0002
ʱl	RA	1	0.0002
ʰm	RA	1	0.0002
ʱn̪	RA	1	0.0002
ʱŋ	RA	1	0.0002
ʱɾ	RA	1	0.0002
ɢ	RA	1	0.0002
ɳʱ	RA	1	0.0002
bʷ	RA	1	0.0002
d̪ʲ	RA	1	0.0002
pʷ	RA	1	0.0002
t̪ʲ	RA	1	0.0002
zʱ	RA	1	0.0002
g̰	RA	1	0.0002
m̩	RA	1	0.0002
n̩	RA	1	0.0002
ŋ̍	RA	1	0.0002
r̠	RA	1	0.0002
æ̃	RA	1	0.0002
ɛ̞	RA	1	0.0002
ʈʂ	RA	1	0.0002
ʈʂʰ	RA	1	0.0002
ɓ	RA	1	0.0002
ɠ	RA	1	0.0002
ʄ	RA	1	0.0002
ᶑ	RA	1	0.0002
l̥	RA	1	0.0002
z̪	RA	1	0.0002
ɭ̊	RA	1	0.0002
yː	RA	1	0.0002
øː	RA	1	0.0002
ɯː	RA	1	0.0002
ɑ̈	RA	1	0.0002
ɑ̈ː	RA	1	0.0002
n	jipa	147	0.0240
m	jipa	146	0.0239
k	jipa	143	0.0234
l	jipa	139	0.0227
p	jipa	137	0.0224
i	jipa	137	0.0224
t	jipa	134	0.0219
s	jipa	134	0.0219
j	jipa	130	0.0212
u	jipa	128	0.0209
b	jipa	119	0.0194
a	jipa	118	0.0193
d	jipa	114	0.0186
g	jipa	111	0.0181
o	jipa	109	0.0178
f	jipa	103	0.0168
e	jipa	99	0.0162
h	jipa	96	0.0157
w	jipa	94	0.0154
ʃ	jipa	90	0.0147
z	jipa	88	0.0144
tʃ	jipa	87	0.0142
ŋ	jipa	80	0.0131
r	jipa	72	0.0118
ɛ	jipa	71	0.0116
dʒ	jipa	67	0.0109
v	jipa	64	0.0105
ɲ	jipa	63	0.0103
ɔ	jipa	61	0.0100
ʒ	jipa	57	0.0093
x	jipa	56	0.0092
iː	jipa	56	0.0092
aː	jipa	49	0.0080
uː	jipa	49	0.0080
ts	jipa	48	0.0078
ʔ	jipa	45	0.0074
oː	jipa	45	0.0074
ə	jipa	40	0.0065
eː	jipa	40	0.0065
ɾ	jipa	38	0.0062
ɪ	jipa	35	0.0057
