Parameter,Dataset1,Dataset2,P,R,Delta,Strict,Approx
Vowels,LAPSyD,ER,0.7865153611165026,9.259931397638958e-11,0.5434782608695652,0.6133849916778306,0.7981705850983345
Sounds,UPSID,PHOIBLE,0.6235383009338836,2.846811753803771e-07,9.982142857142858,0.49004530189362777,0.7050309086488032
Consonants,UPSID,PHOIBLE,0.6368050830362834,1.3203487718894418e-07,5.946428571428571,0.5587487824288631,0.7474508743953374
Vowels,UPSID,PHOIBLE,0.682443150265466,6.930122823692313e-09,5.0,0.3722477507966296,0.6219200100847653
Sounds,UPSID,AA,0.3250153230909556,0.0744178246810805,5.935483870967742,0.6233242898847432,0.770685090842018
Consonants,UPSID,AA,0.6281977106642106,0.00015443412722333707,3.306451612903226,0.6785062346635135,0.802996063462851
Vowels,UPSID,AA,0.4444006843341368,0.012256645286196978,3.338709677419355,0.5617135062111756,0.7260944954646117
Sounds,UPSID,RA,0.8181848010674018,0.0001930283969604423,8.766666666666667,0.44138642490104096,0.6747821666943209
Consonants,UPSID,RA,0.6010784097271287,0.01779011628278152,5.8,0.5108112913202192,0.7098847346585044
Vowels,UPSID,RA,0.22958598010074793,0.41043761169423687,4.7,0.33359140859140857,0.5995851008999818
Sounds,UPSID,SAPHON,0.6632636671714514,1.0390566956566411e-08,3.6779661016949152,0.5169826195483338,0.7403123142173059
Consonants,UPSID,SAPHON,0.7372140564183028,2.7733253578700343e-11,2.169491525423729,0.6129400038518394,0.7768913899184856
Vowels,UPSID,SAPHON,0.6020752239697823,4.551057129938593e-07,2.457627118644068,0.370791852792747,0.6730665529752347
Sounds,UPSID,EA,0.67716474787267,2.069451145458175e-09,6.221311475409836,0.40588793202581747,0.6955373195866577
Consonants,UPSID,EA,0.8043290988405587,5.8448595319379174e-15,3.3114754098360657,0.49351889963820966,0.7448965651769024
Vowels,UPSID,EA,0.6851768132613683,1.122447845845254e-09,3.9836065573770494,0.2647884880052791,0.6021237075627205
Sounds,UPSID,ER,0.5870931854055548,0.0040720857040772674,2.8863636363636362,0.4058265019763673,0.7100096824116523
Consonants,UPSID,ER,0.7532136441419904,5.207375700492458e-05,2.0681818181818183,0.413385738569023,0.7264827989010573
Vowels,UPSID,ER,0.4068819669271202,0.06020431968938434,1.3636363636363635,0.4498057498057498,0.6749201839826839
Sounds,PHOIBLE,AA,0.6013100680965224,5.157693171639114e-05,6.243589743589744,0.6650050750531553,0.7720425358130052
Consonants,PHOIBLE,AA,0.4483334459336702,0.004204332008757091,3.8205128205128207,0.6764727198937329,0.7731732052313355
Vowels,PHOIBLE,AA,0.6539358763323478,6.346132189910222e-06,3.7051282051282053,0.6717384290252967,0.7854847793754207
Sounds,PHOIBLE,RA,0.8421828908554571,4.2615378895973154e-05,9.8125,0.44133642100394854,0.6670026891201061
Consonants,PHOIBLE,RA,0.7570445140568155,0.0006850096513544258,7.25,0.4787008280244831,0.7055159738711427
Vowels,PHOIBLE,RA,0.5496669693912027,0.02740661176700984,4.9375,0.39155489830627777,0.5834177942384601
Sounds,PHOIBLE,SAPHON,0.7025567661257412,1.7835426320108166e-06,2.9722222222222223,0.7421568055778897,0.8558859330808556
Consonants,PHOIBLE,SAPHON,0.9261118187314731,5.884692293222524e-16,1.2777777777777777,0.7859818606296903,0.886785232302921
Vowels,PHOIBLE,SAPHON,0.775120894038026,2.857286946504151e-08,2.111111111111111,0.7142274392274393,0.8176223938649534
Sounds,PHOIBLE,EA,0.6935069856148093,2.8420598531467912e-11,6.328571428571428,0.5331844305429516,0.7679729564590623
Consonants,PHOIBLE,EA,0.8153692899562783,8.48795198613704e-18,3.742857142857143,0.5899263110401937,0.7986967739198094
Vowels,PHOIBLE,EA,0.7738887763015437,3.997575237846558e-15,3.3857142857142857,0.44879299762729535,0.7113823003733425
Sounds,PHOIBLE,ER,0.8717332988418625,0.00047010892407059327,4.909090909090909,0.421776711776798,0.6854195758265235
Consonants,PHOIBLE,ER,0.7301734794584981,0.01072795764442124,4.818181818181818,0.38831576649798677,0.6808386028058918
Vowels,PHOIBLE,ER,0.3962700997406569,0.22761500615673702,1.5454545454545454,0.646969696969697,0.7456304112554113
Sounds,RA,EA,0.7204422245637985,7.14305537553006e-06,5.15,0.46028230615573634,0.7076038157235217
Consonants,RA,EA,0.864473950743413,7.397187908296114e-10,3.8833333333333333,0.5298653929925451,0.7500670715043043
Vowels,RA,EA,0.26343128854270564,0.15956086170779613,4.7,0.3708286795627657,0.6325140062327019
