Glottocode	DatasetA	VarietyA	SoundsA	ConsonantsA	VowelsA	DatasetB	VarietyB	SoundsB	ConsonantsB	VowelsB	StrictSimilarity	AverageSimilarity	InventoryA	InventoryB
stan1293	phoible	stan1293-2175	39	24	15	phoible	stan1293-2177	44	25	19	0.48	0.76	æ aɪ aʊ ɑ b d ð dʒ eɪ̯ ə ɛ ə˞ː f g h iɪ ɪ j kʰ l m n ŋ oʊ ɔɪ pʰ ɹ s ʃ tʰ tʃ uː ʊ v ʌ w z ʒ θ	æ æɪ æɔ ɐ ɐː ɑe b d ð dʒ e eː əʉ ɜː f g h iː ɪ ɪə j k kʰ l m n ŋ oː oɪ ɔ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ ʊə v w z ʒ θ
stan1293	phoible	stan1293-2175	39	24	15	phoible	stan1293-2178	40	24	16	0.65	0.86	æ aɪ aʊ ɑ b d ð dʒ eɪ̯ ə ɛ ə˞ː f g h iɪ ɪ j kʰ l m n ŋ oʊ ɔɪ pʰ ɹ s ʃ tʰ tʃ uː ʊ v ʌ w z ʒ θ	a aɪ aʊ ɑː ɒ b d ð dʒ eː eɪ ə ɛ ɛʉ f g h iː ɪ j kʰ l m n ŋ ɔː ɔɪ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ v w z ʒ θ
stan1293	phoible	stan1293-2175	39	24	15	phoible	stan1293-2179	45	24	21	0.40	0.70	æ aɪ aʊ ɑ b d ð dʒ eɪ̯ ə ɛ ə˞ː f g h iɪ ɪ j kʰ l m n ŋ oʊ ɔɪ pʰ ɹ s ʃ tʰ tʃ uː ʊ v ʌ w z ʒ θ	æe æo ɐ ɐː ɐʉ ɑe ɒ ɒɯ b d ð dʒ e eə ɛ ɘ f g h i iː iə j kx l m n ŋ oː oe ɵː pʰ ɹ s ʃ ts tʃ ʉː ʉə ʊ v w z ʒ θ
stan1293	phoible	stan1293-2175	39	24	15	phoible	stan1293-2180	39	24	15	0.56	0.76	æ aɪ aʊ ɑ b d ð dʒ eɪ̯ ə ɛ ə˞ː f g h iɪ ɪ j kʰ l m n ŋ oʊ ɔɪ pʰ ɹ s ʃ tʰ tʃ uː ʊ v ʌ w z ʒ θ	a aː ɒ ɒː b d ð dʒ eː ə ɛ ɛː f g h iː ɪ j k l m n ŋ oː øː ɔː pʰ ɹ s ʃ tʰ tʃ uː ʊ v w z ʒ θ
stan1293	phoible	stan1293-2176	39	24	15	phoible	stan1293-2177	44	25	19	0.51	0.76	æ aɪ aʊ ɑ b d ð dʒ ei ɛ ə˞ f g h i ɪ j kʰ l m n ŋ oʊ ɔ ɔɪ pʰ ɹ s ʃ tʰ tʃ u ʊ v ʌ w z ʒ θ	æ æɪ æɔ ɐ ɐː ɑe b d ð dʒ e eː əʉ ɜː f g h iː ɪ ɪə j k kʰ l m n ŋ oː oɪ ɔ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ ʊə v w z ʒ θ
stan1293	phoible	stan1293-2176	39	24	15	phoible	stan1293-2178	40	24	16	0.61	0.86	æ aɪ aʊ ɑ b d ð dʒ ei ɛ ə˞ f g h i ɪ j kʰ l m n ŋ oʊ ɔ ɔɪ pʰ ɹ s ʃ tʰ tʃ u ʊ v ʌ w z ʒ θ	a aɪ aʊ ɑː ɒ b d ð dʒ eː eɪ ə ɛ ɛʉ f g h iː ɪ j kʰ l m n ŋ ɔː ɔɪ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ v w z ʒ θ
stan1293	phoible	stan1293-2176	39	24	15	phoible	stan1293-2179	45	24	21	0.42	0.69	æ aɪ aʊ ɑ b d ð dʒ ei ɛ ə˞ f g h i ɪ j kʰ l m n ŋ oʊ ɔ ɔɪ pʰ ɹ s ʃ tʰ tʃ u ʊ v ʌ w z ʒ θ	æe æo ɐ ɐː ɐʉ ɑe ɒ ɒɯ b d ð dʒ e eə ɛ ɘ f g h i iː iə j kx l m n ŋ oː oe ɵː pʰ ɹ s ʃ ts tʃ ʉː ʉə ʊ v w z ʒ θ
stan1293	phoible	stan1293-2176	39	24	15	phoible	stan1293-2180	39	24	15	0.50	0.78	æ aɪ aʊ ɑ b d ð dʒ ei ɛ ə˞ f g h i ɪ j kʰ l m n ŋ oʊ ɔ ɔɪ pʰ ɹ s ʃ tʰ tʃ u ʊ v ʌ w z ʒ θ	a aː ɒ ɒː b d ð dʒ eː ə ɛ ɛː f g h iː ɪ j k l m n ŋ oː øː ɔː pʰ ɹ s ʃ tʰ tʃ uː ʊ v w z ʒ θ
stan1293	phoible	stan1293-2177	44	25	19	phoible	stan1293-2178	40	24	16	0.53	0.79	æ æɪ æɔ ɐ ɐː ɑe b d ð dʒ e eː əʉ ɜː f g h iː ɪ ɪə j k kʰ l m n ŋ oː oɪ ɔ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ ʊə v w z ʒ θ	a aɪ aʊ ɑː ɒ b d ð dʒ eː eɪ ə ɛ ɛʉ f g h iː ɪ j kʰ l m n ŋ ɔː ɔɪ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ v w z ʒ θ
stan1293	phoible	stan1293-2177	44	25	19	phoible	stan1293-2179	45	24	21	0.51	0.77	æ æɪ æɔ ɐ ɐː ɑe b d ð dʒ e eː əʉ ɜː f g h iː ɪ ɪə j k kʰ l m n ŋ oː oɪ ɔ pʰ ɹ s ʃ tʰ tʃ ʉː ʊ ʊə v w z ʒ θ	æe æo ɐ ɐː ɐʉ ɑe ɒ ɒɯ b d ð dʒ e eə ɛ ɘ f g h i iː iə j kx l m n ŋ oː oe ɵː pʰ ɹ s ʃ ts tʃ ʉː ʉə ʊ v w z ʒ θ
