Glottocode	DatasetA	VarietyA	SoundsA	ConsonantsA	VowelsA	DatasetB	VarietyB	SoundsB	ConsonantsB	VowelsB	StrictSimilarity	AverageSimilarity	InventoryA	InventoryB	normal vowels A	normal vowels B	long vowels A	long vowels B	odd-length vowels A	odd-length vowels B	diphthongs A	diphthongs B	normal consonants A	normal consonants B	long consonants A	long consonants B	odd-length consonants A	odd-length consonants B	unknowns A	unknowns B
poli1260	jipa	polish	39	33	6	ea	poli1260-2604	35	27	8	0.32	0.68	a e i o u ɨ b c d dz dʑ dʒ f g j j̃ k l m n p r s t ts tɕ tʃ v w w̃ x z ŋ ɕ ɟ ɲ ʃ ʑ ʒ	ä i ĩ̯ u ũ̯ ɔ ɘ̟ ɛ b c dz̪ dʑ d̪ f g j k m n̪ p s̪ ts̪ tɕ t̪ v w x z̪ ɕ ɖʐ̻ ɟ ʂ̻ ʈʂ̻ ʐ̻ ʑ	a e i o u ɨ	ä i ĩ̯ u ũ̯ ɔ ɘ̟ ɛ							b c d dz dʑ dʒ f g j j̃ k l m n p r s t ts tɕ tʃ v w w̃ x z ŋ ɕ ɟ ɲ ʃ ʑ ʒ	b c dz̪ dʑ d̪ f g j k m n̪ p s̪ ts̪ tɕ t̪ v w x z̪ ɕ ɖʐ̻ ɟ ʂ̻ ʈʂ̻ ʐ̻ ʑ						
poli1260	lapsyd	polish_poli1260	43	35	8	ea	poli1260-2604	35	27	8	0.37	0.69	a i u ɔ ɔ̃ ɛ ɛ̃ ɨ b bʲ dz dʑ dʒ d̪ f fʲ g gʲ j k kʲ l̪ m mʲ n̪ p pʲ r s ts tɕ tʃ t̪ v vʲ w x z ɕ ɲ ʂ ʑ ʒ	ä i ĩ̯ u ũ̯ ɔ ɘ̟ ɛ b c dz̪ dʑ d̪ f g j k m n̪ p s̪ ts̪ tɕ t̪ v w x z̪ ɕ ɖʐ̻ ɟ ʂ̻ ʈʂ̻ ʐ̻ ʑ	a i u ɔ ɔ̃ ɛ ɛ̃ ɨ	ä i ĩ̯ u ũ̯ ɔ ɘ̟ ɛ							b bʲ dz dʑ dʒ d̪ f fʲ g gʲ j k kʲ l̪ m mʲ n̪ p pʲ r s ts tɕ tʃ t̪ v vʲ w x z ɕ ɲ ʂ ʑ ʒ	b c dz̪ dʑ d̪ f g j k m n̪ p s̪ ts̪ tɕ t̪ v w x z̪ ɕ ɖʐ̻ ɟ ʂ̻ ʈʂ̻ ʐ̻ ʑ						
russ1263	jipa	russian	42	36	6	lapsyd	russian_russ1263	38	33	5	0.38	0.72	a e i o u ɨ b bʲ d dʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n nʲ p pʲ r rʲ s sʲ t ts tʃʲ tʲ v vʲ x xʲ z zʲ ʃ ʒ ʃʲː	a e i o u b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃ ʝ	a e i o u ɨ	a e i o u							b bʲ d dʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n nʲ p pʲ r rʲ s sʲ t ts tʃʲ tʲ v vʲ x xʲ z zʲ ʃ ʒ	b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃ ʝ	ʃʲː					
russ1263	jipa	russian	42	36	6	upsid	russ1263-530	38	33	5	0.31	0.72	a e i o u ɨ b bʲ d dʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n nʲ p pʲ r rʲ s sʲ t ts tʃʲ tʲ v vʲ x xʲ z zʲ ʃ ʒ ʃʲː	a i u ɔ ɛ b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃˠ ʒˠ	a e i o u ɨ	a i u ɔ ɛ							b bʲ d dʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n nʲ p pʲ r rʲ s sʲ t ts tʃʲ tʲ v vʲ x xʲ z zʲ ʃ ʒ	b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃˠ ʒˠ	ʃʲː					
russ1263	jipa	russian	42	36	6	ea	russ1263-2261	42	36	6	0.56	0.86	a e i o u ɨ b bʲ d dʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n nʲ p pʲ r rʲ s sʲ t ts tʃʲ tʲ v vʲ x xʲ z zʲ ʃ ʒ ʃʲː	a e i o u ɨ b bʲ d̪ d̪ʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n̪ n̪ʲ p pʲ r s sʲ ts̪ tɕ t̪ t̪ʲ v vʲ x xʲ z zʲ ɾʲ ʂ ʐ ɕː	a e i o u ɨ	a e i o u ɨ							b bʲ d dʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n nʲ p pʲ r rʲ s sʲ t ts tʃʲ tʲ v vʲ x xʲ z zʲ ʃ ʒ	b bʲ d̪ d̪ʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n̪ n̪ʲ p pʲ r s sʲ ts̪ tɕ t̪ t̪ʲ v vʲ x xʲ z zʲ ɾʲ ʂ ʐ	ʃʲː	ɕː				
russ1263	lapsyd	russian_russ1263	38	33	5	upsid	russ1263-530	38	33	5	0.81	0.95	a e i o u b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃ ʝ	a i u ɔ ɛ b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃˠ ʒˠ	a e i o u	a i u ɔ ɛ							b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃ ʝ	b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃˠ ʒˠ						
russ1263	lapsyd	russian_russ1263	38	33	5	ea	russ1263-2261	42	36	6	0.48	0.82	a e i o u b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃ ʝ	a e i o u ɨ b bʲ d̪ d̪ʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n̪ n̪ʲ p pʲ r s sʲ ts̪ tɕ t̪ t̪ʲ v vʲ x xʲ z zʲ ɾʲ ʂ ʐ ɕː	a e i o u	a e i o u ɨ							b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃ ʝ	b bʲ d̪ d̪ʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n̪ n̪ʲ p pʲ r s sʲ ts̪ tɕ t̪ t̪ʲ v vʲ x xʲ z zʲ ɾʲ ʂ ʐ		ɕː				
russ1263	upsid	russ1263-530	38	33	5	ea	russ1263-2261	42	36	6	0.43	0.79	a i u ɔ ɛ b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃˠ ʒˠ	a e i o u ɨ b bʲ d̪ d̪ʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n̪ n̪ʲ p pʲ r s sʲ ts̪ tɕ t̪ t̪ʲ v vʲ x xʲ z zʲ ɾʲ ʂ ʐ ɕː	a i u ɔ ɛ	a e i o u ɨ							b bʲ d̪ d̪ʲ f fʲ g j k kʲ l̪ʲ l̪ˠ m mʲ n̪ n̪ʲ p pʲ r̪ r̪ʲ s̪ s̪ʲ ts tʃ t̪ t̪ʲ v vʲ x z̪ z̪ʲ ʃˠ ʒˠ	b bʲ d̪ d̪ʲ f fʲ g gʲ j k kʲ l lʲ m mʲ n̪ n̪ʲ p pʲ r s sʲ ts̪ tɕ t̪ t̪ʲ v vʲ x xʲ z zʲ ɾʲ ʂ ʐ		ɕː				
sala1272	jipa	salasacaquichua	27	24	3	phoible	sala1272-1146	29	24	5	0.81	0.91	a i u b d g j k kʰ l m n p pʰ s t ts tʃ tʃʰ tʰ w x z ɲ ɾ ʃ ʒ	a e i o u b d̪ g j k kʰ l m n p pʰ s ts tʃ tʃʰ tʰ t̪ w x z ɲ ɾ ʃ ʒ	a i u	a e i o u							b d g j k kʰ l m n p pʰ s t ts tʃ tʃʰ tʰ w x z ɲ ɾ ʃ ʒ	b d̪ g j k kʰ l m n p pʰ s ts tʃ tʃʰ tʰ t̪ w x z ɲ ɾ ʃ ʒ						
sala1272	jipa	salasacaquichua	27	24	3	saphon	sala1272-2040	26	23	3	0.96	0.94	a i u b d g j k kʰ l m n p pʰ s t ts tʃ tʃʰ tʰ w x z ɲ ɾ ʃ ʒ	a i u b d g j k kʰ l m n p pʰ s t ts tʃ tʰ w x z ɲ ɾ ʃ ʒ	a i u	a i u							b d g j k kʰ l m n p pʰ s t ts tʃ tʃʰ tʰ w x z ɲ ɾ ʃ ʒ	b d g j k kʰ l m n p pʰ s t ts tʃ tʰ w x z ɲ ɾ ʃ ʒ						
sala1272	phoible	sala1272-1146	29	24	5	saphon	sala1272-2040	26	23	3	0.77	0.88	a e i o u b d̪ g j k kʰ l m n p pʰ s ts tʃ tʃʰ tʰ t̪ w x z ɲ ɾ ʃ ʒ	a i u b d g j k kʰ l m n p pʰ s t ts tʃ tʰ w x z ɲ ɾ ʃ ʒ	a e i o u	a i u							b d̪ g j k kʰ l m n p pʰ s ts tʃ tʃʰ tʰ t̪ w x z ɲ ɾ ʃ ʒ	b d g j k kʰ l m n p pʰ s t ts tʃ tʰ w x z ɲ ɾ ʃ ʒ						
sand1273	jipa	sandawe	59	44	15	lapsyd	sandawe_sand1273	62	47	15	0.57	0.81	a ã e ẽ i ĩ o õ u ũ aː eː iː oː uː b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w ǀ ǀʰ ǀʼ ǁ ǁʰ ǁʼ ǃ ǃʰ ǃʼ ɬ ɾ ʔ χ ⁿǀ ⁿǁ ⁿǃ	a e i o u aː ãː eː ẽː iː ĩː oː õː uː ũː b d dz dɮ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǁ ǁʰ ǃ ǃʰ ɬ ɾ ʔ ǀʔ ǁʔ ǃʔ	a ã e ẽ i ĩ o õ u ũ	a e i o u	aː eː iː oː uː	aː ãː eː ẽː iː ĩː oː õː uː ũː					b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w ǀ ǀʰ ǀʼ ǁ ǁʰ ǁʼ ǃ ǃʰ ǃʼ ɬ ɾ ʔ χ ⁿǀ ⁿǁ ⁿǃ	b d dz dɮ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǁ ǁʰ ǃ ǃʰ ɬ ɾ ʔ						ǀʔ ǁʔ ǃʔ
sand1273	jipa	sandawe	59	44	15	upsid	sand1273-532	54	47	7	0.33	0.71	a ã e ẽ i ĩ o õ u ũ aː eː iː oː uː b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w ǀ ǀʰ ǀʼ ǁ ǁʰ ǁʼ ǃ ǃʰ ǃʼ ɬ ɾ ʔ χ ⁿǀ ⁿǁ ⁿǃ	a e̞ i i̥ o̞ u u̥ b d dz dɮ f g gǀ͓ gǁ͓ gǃ̠ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ͓ ŋǁ͓ ŋǃ̠ ǀʰ͓ ǀˀ͓ ǀ͓ ǁʰ͓ ǁˀ͓ ǁ͓ ǃ̠ ǃ̠ʰ ǃ̠ˀ ɬ ɾ ʔ	a ã e ẽ i ĩ o õ u ũ	a e̞ i i̥ o̞ u u̥	aː eː iː oː uː						b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w ǀ ǀʰ ǀʼ ǁ ǁʰ ǁʼ ǃ ǃʰ ǃʼ ɬ ɾ ʔ χ ⁿǀ ⁿǁ ⁿǃ	b d dz dɮ f g gǀ͓ gǁ͓ gǃ̠ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ͓ ŋǁ͓ ŋǃ̠ ǀʰ͓ ǀˀ͓ ǀ͓ ǁʰ͓ ǁˀ͓ ǁ͓ ǃ̠ ǃ̠ʰ ǃ̠ˀ ɬ ɾ ʔ						
sand1273	jipa	sandawe	59	44	15	phoible	sand1273-1652	58	43	15	0.72	0.91	a ã e ẽ i ĩ o õ u ũ aː eː iː oː uː b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w ǀ ǀʰ ǀʼ ǁ ǁʰ ǁʼ ǃ ǃʰ ǃʼ ɬ ɾ ʔ χ ⁿǀ ⁿǁ ⁿǃ	a e i o u aː ãː eː ẽː iː ĩː oː õː uː ũː b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w x ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǀʼ ǁ ǁʰ ǃ ǃʰ ǃʼ ɬ ɾ ʔ	a ã e ẽ i ĩ o õ u ũ	a e i o u	aː eː iː oː uː	aː ãː eː ẽː iː ĩː oː õː uː ũː					b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w ǀ ǀʰ ǀʼ ǁ ǁʰ ǁʼ ǃ ǃʰ ǃʼ ɬ ɾ ʔ χ ⁿǀ ⁿǁ ⁿǃ	b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w x ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǀʼ ǁ ǁʰ ǃ ǃʰ ǃʼ ɬ ɾ ʔ						
sand1273	lapsyd	sandawe_sand1273	62	47	15	upsid	sand1273-532	54	47	7	0.43	0.77	a e i o u aː ãː eː ẽː iː ĩː oː õː uː ũː b d dz dɮ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǁ ǁʰ ǃ ǃʰ ɬ ɾ ʔ ǀʔ ǁʔ ǃʔ	a e̞ i i̥ o̞ u u̥ b d dz dɮ f g gǀ͓ gǁ͓ gǃ̠ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ͓ ŋǁ͓ ŋǃ̠ ǀʰ͓ ǀˀ͓ ǀ͓ ǁʰ͓ ǁˀ͓ ǁ͓ ǃ̠ ǃ̠ʰ ǃ̠ˀ ɬ ɾ ʔ	a e i o u	a e̞ i i̥ o̞ u u̥	aː ãː eː ẽː iː ĩː oː õː uː ũː						b d dz dɮ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǁ ǁʰ ǃ ǃʰ ɬ ɾ ʔ	b d dz dɮ f g gǀ͓ gǁ͓ gǃ̠ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ͓ ŋǁ͓ ŋǃ̠ ǀʰ͓ ǀˀ͓ ǀ͓ ǁʰ͓ ǁˀ͓ ǁ͓ ǃ̠ ǃ̠ʰ ǃ̠ˀ ɬ ɾ ʔ					ǀʔ ǁʔ ǃʔ	
sand1273	lapsyd	sandawe_sand1273	62	47	15	phoible	sand1273-1652	58	43	15	0.79	0.87	a e i o u aː ãː eː ẽː iː ĩː oː õː uː ũː b d dz dɮ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǁ ǁʰ ǃ ǃʰ ɬ ɾ ʔ ǀʔ ǁʔ ǃʔ	a e i o u aː ãː eː ẽː iː ĩː oː õː uː ũː b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w x ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǀʼ ǁ ǁʰ ǃ ǃʰ ǃʼ ɬ ɾ ʔ	a e i o u	a e i o u	aː ãː eː ẽː iː ĩː oː õː uː ũː	aː ãː eː ẽː iː ĩː oː õː uː ũː					b d dz dɮ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǁ ǁʰ ǃ ǃʰ ɬ ɾ ʔ	b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w x ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǀʼ ǁ ǁʰ ǃ ǃʰ ǃʼ ɬ ɾ ʔ					ǀʔ ǁʔ ǃʔ	
sand1273	upsid	sand1273-532	54	47	7	phoible	sand1273-1652	58	43	15	0.35	0.70	a e̞ i i̥ o̞ u u̥ b d dz dɮ f g gǀ͓ gǁ͓ gǃ̠ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ͓ ŋǁ͓ ŋǃ̠ ǀʰ͓ ǀˀ͓ ǀ͓ ǁʰ͓ ǁˀ͓ ǁ͓ ǃ̠ ǃ̠ʰ ǃ̠ˀ ɬ ɾ ʔ	a e i o u aː ãː eː ẽː iː ĩː oː õː uː ũː b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w x ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǀʼ ǁ ǁʰ ǃ ǃʰ ǃʼ ɬ ɾ ʔ	a e̞ i i̥ o̞ u u̥	a e i o u		aː ãː eː ẽː iː ĩː oː õː uː ũː					b d dz dɮ f g gǀ͓ gǁ͓ gǃ̠ h j k kʰ kʼ l m n p pʰ pʼ s t ts tsʰ tsʼ tɬ tɬʼ tʰ tʼ w x ŋ ŋǀ͓ ŋǁ͓ ŋǃ̠ ǀʰ͓ ǀˀ͓ ǀ͓ ǁʰ͓ ǁˀ͓ ǁ͓ ǃ̠ ǃ̠ʰ ǃ̠ˀ ɬ ɾ ʔ	b d dɮ dʒ f g gǀ gǁ gǃ h j k kʰ kʼ l m n p pʰ s t tsʼ tɬ tɬʼ tʃ tʃʰ tʰ w x ŋǀ ŋǁ ŋǃ ǀ ǀʰ ǀʼ ǁ ǁʰ ǃ ǃʰ ǃʼ ɬ ɾ ʔ						
seri1257	jipa	seri	26	18	8	lapsyd	seri_seri1257	25	17	8	0.65	0.85	i o ɑ ɛ iː oː ɑː ɛː j k kʷ l m n p s t x xʷ ɬ ɸ ɾ ʃ ʔ χ χʷ	a i o ɛ aː iː oː ɛː j k kʷ l m n̪ p s t̪ x xʷ ɬ ɸ ʂ ʔ χ χʷ	i o ɑ ɛ	a i o ɛ	iː oː ɑː ɛː	aː iː oː ɛː					j k kʷ l m n p s t x xʷ ɬ ɸ ɾ ʃ ʔ χ χʷ	j k kʷ l m n̪ p s t̪ x xʷ ɬ ɸ ʂ ʔ χ χʷ						
seri1257	jipa	seri	26	18	8	phoible	seri1257-1147	25	17	8	0.89	0.92	i o ɑ ɛ iː oː ɑː ɛː j k kʷ l m n p s t x xʷ ɬ ɸ ɾ ʃ ʔ χ χʷ	i o ɑ ɛ iː oː ɑː ɛː k kʷ l m n p s t̪ x xʷ ɬ ɸ ɾ ʃ ʔ χ χʷ	i o ɑ ɛ	i o ɑ ɛ	iː oː ɑː ɛː	iː oː ɑː ɛː					j k kʷ l m n p s t x xʷ ɬ ɸ ɾ ʃ ʔ χ χʷ	k kʷ l m n p s t̪ x xʷ ɬ ɸ ɾ ʃ ʔ χ χʷ						
seri1257	lapsyd	seri_seri1257	25	17	8	phoible	seri1257-1147	25	17	8	0.67	0.91	a i o ɛ aː iː oː ɛː j k kʷ l m n̪ p s t̪ x xʷ ɬ ɸ ʂ ʔ χ χʷ	i o ɑ ɛ iː oː ɑː ɛː k kʷ l m n p s t̪ x xʷ ɬ ɸ ɾ ʃ ʔ χ χʷ	a i o ɛ	i o ɑ ɛ	aː iː oː ɛː	iː oː ɑː ɛː					j k kʷ l m n̪ p s t̪ x xʷ ɬ ɸ ʂ ʔ χ χʷ	k kʷ l m n p s t̪ x xʷ ɬ ɸ ɾ ʃ ʔ χ χʷ						
wuch1236	jipa	shanghaichinese	44	29	15	upsid	wuch1236-622	34	25	9	0.47	0.62	a i o u y ø ɐ ɑ ɔ ə ɛ ɤ ɪ ʊ ʏ b d dʑ f g h j k kʰ l m n p pʰ s t ts tsʰ tɕ tɕʰ tʰ v w z z̩ ŋ ɕ ʑ ʔ	a i ĩ o̞ õ̞ u y æ̃ ə f h j k kʰ kʱ l m n p pʰ pʱ s t ts tsʰ tsʱ tʰ tʱ v w z ŋ ɦ ʔ	a i o u y ø ɐ ɑ ɔ ə ɛ ɤ ɪ ʊ ʏ	a i ĩ o̞ õ̞ u y æ̃ ə							b d dʑ f g h j k kʰ l m n p pʰ s t ts tsʰ tɕ tɕʰ tʰ v w z z̩ ŋ ɕ ʑ ʔ	f h j k kʰ kʱ l m n p pʰ pʱ s t ts tsʰ tsʱ tʰ tʱ v w z ŋ ɦ ʔ						
shil1265	jipa	shilluk	49	19	30	phoible	shil1265-1359	51	25	26	0.52	0.65	a e i o u ɔ ɛ ɪ ʊ ʌ aː eː iː oː uː ɔː ɛː ɪː ʊː ʌː aˑ eˑ iˑ oˑ uˑ ɔˑ ɛˑ ɪˑ ʊˑ ʌˑ b c d d̪ g j k l m n n̪ p r t t̪ w ŋ ɟ ɲ	a e e̥ i o u ɑ ɔ ɛ ɪ ʊ aː eː e̥ː iː oː uː ɑː ɔː ɛː ɪː ʊː au aɪ eɪ ɔɪ b cç d d̪ f g h j k l m n n̪ p t t̪ w x ð ŋ ɟʝ ɣ ɲ ɹ θ	a e i o u ɔ ɛ ɪ ʊ ʌ	a e e̥ i o u ɑ ɔ ɛ ɪ ʊ	aː eː iː oː uː ɔː ɛː ɪː ʊː ʌː	aː eː e̥ː iː oː uː ɑː ɔː ɛː ɪː ʊː	aˑ eˑ iˑ oˑ uˑ ɔˑ ɛˑ ɪˑ ʊˑ ʌˑ			au aɪ eɪ ɔɪ	b c d d̪ g j k l m n n̪ p r t t̪ w ŋ ɟ ɲ	b cç d d̪ f g h j k l m n n̪ p t t̪ w x ð ŋ ɟʝ ɣ ɲ ɹ θ						
ship1254	jipa	shipibo	24	16	8	lapsyd	shipibokonibo_ship1254	23	15	8	0.88	0.91	a ã i ĩ o õ ɯ ɯ̃ h j k m n p r s t ts tʃ w ʂ ʃ ʔ β	a ã i ĩ o õ ɯ ɯ̃ h j k m n p s t ts tʃ w ɹ ʂ ʃ β	a ã i ĩ o õ ɯ ɯ̃	a ã i ĩ o õ ɯ ɯ̃							h j k m n p r s t ts tʃ w ʂ ʃ ʔ β	h j k m n p s t ts tʃ w ɹ ʂ ʃ β						
jebe1250	jipa	shiwilujebero	21	17	4	lapsyd	jebero_jebe1250	22	18	4	0.54	0.75	a i u ɘ j k l m n p r s t tʃ w ɲ ɹ̪ ʃ ʎ ʔ ˀr	a i u ə cç j k l m n̪ p s t̪ w ŋ ɲ ɹ̪ ɾ ɾ̰ ʃ ʎ ʔ	a i u ɘ	a i u ə							j k l m n p r s t tʃ w ɲ ɹ̪ ʃ ʎ ʔ ˀr	cç j k l m n̪ p s t̪ w ŋ ɲ ɹ̪ ɾ ɾ̰ ʃ ʎ ʔ						
jebe1250	jipa	shiwilujebero	21	17	4	upsid	jebe1250-381	23	19	4	0.52	0.76	a i u ɘ j k l m n p r s t tʃ w ɲ ɹ̪ ʃ ʎ ʔ ˀr	a i u ɘ cç j k kˀ l m n̪ p s t̪ w ŋ ɲ ɹ ɾ ɾ̰ ʃ ʎ ʔ	a i u ɘ	a i u ɘ							j k l m n p r s t tʃ w ɲ ɹ̪ ʃ ʎ ʔ ˀr	cç j k kˀ l m n̪ p s t̪ w ŋ ɲ ɹ ɾ ɾ̰ ʃ ʎ ʔ						
jebe1250	jipa	shiwilujebero	21	17	4	saphon	jebe1250-1860	21	17	4	0.83	0.95	a i u ɘ j k l m n p r s t tʃ w ɲ ɹ̪ ʃ ʎ ʔ ˀr	a i u ə j k l m n p s t tʃ w ɲ ɹ̪ ɾ ʃ ʎ ʔ ˀr	a i u ɘ	a i u ə							j k l m n p r s t tʃ w ɲ ɹ̪ ʃ ʎ ʔ ˀr	j k l m n p s t tʃ w ɲ ɹ̪ ɾ ʃ ʎ ʔ ˀr						
jebe1250	lapsyd	jebero_jebe1250	22	18	4	upsid	jebe1250-381	23	19	4	0.80	0.90	a i u ə cç j k l m n̪ p s t̪ w ŋ ɲ ɹ̪ ɾ ɾ̰ ʃ ʎ ʔ	a i u ɘ cç j k kˀ l m n̪ p s t̪ w ŋ ɲ ɹ ɾ ɾ̰ ʃ ʎ ʔ	a i u ə	a i u ɘ							cç j k l m n̪ p s t̪ w ŋ ɲ ɹ̪ ɾ ɾ̰ ʃ ʎ ʔ	cç j k kˀ l m n̪ p s t̪ w ŋ ɲ ɹ ɾ ɾ̰ ʃ ʎ ʔ						
