Phoneme,Dataset,Dataset Pair,Absolute Count (DatasetA),Absolute Count (DatasetB),Relative Count (DatasetA),Relative Count (DatasetB),Total Inventories,Percent (DatasetA),Percent (DatasetB)
ãː,lapsyd,lapsyd-upsid,10,0,0.0011,0.0000,303,0.0330,0.0000
ãː,phoible,phoible-aa,4,0,0.0022,0.0000,47,0.0851,0.0000
ãː,phoible,phoible-jipa,0,4,0.0000,0.0009,111,0.0000,0.0360
ãː,phoible,phoible-lapsyd,0,4,0.0000,0.0008,139,0.0000,0.0288
ãː,phoible,phoible-ra,1,0,0.0014,0.0000,16,0.0625,0.0000
ãː,phoible,phoible-saphon,2,0,0.0018,0.0000,42,0.0476,0.0000
ãː,phoible,phoible-upsid,0,6,0.0000,0.0024,61,0.0000,0.0984
ãː,saphon,saphon-lapsyd,0,2,0.0000,0.0007,107,0.0000,0.0187
ãː,saphon,saphon-phoible,0,2,0.0000,0.0018,42,0.0000,0.0476
ãː,saphon,saphon-upsid,0,1,0.0000,0.0006,63,0.0000,0.0159
ãː,upsid,upsid-ea,1,0,0.0003,0.0000,82,0.0122,0.0000
ãː,upsid,upsid-jipa,0,1,0.0000,0.0007,38,0.0000,0.0263
ãː,upsid,upsid-lapsyd,0,3,0.0000,0.0003,303,0.0000,0.0099
ãː,upsid,upsid-phoible,1,0,0.0005,0.0000,61,0.0164,0.0000
ãː,upsid,upsid-ra,2,0,0.0034,0.0000,16,0.1250,0.0000
ãˤ,jipa,jipa-phoible,1,0,0.0002,0.0000,111,0.0090,0.0000
ă,upsid,upsid-ea,3,0,0.0010,0.0000,82,0.0366,0.0000
ă,upsid,upsid-lapsyd,0,1,0.0000,0.0001,303,0.0000,0.0033
ä,ea,ea-jipa,0,11,0.0000,0.0045,57,0.0000,0.1930
ä,ea,ea-lapsyd,0,25,0.0000,0.0064,95,0.0000,0.2632
ä,ea,ea-phoible,0,19,0.0000,0.0040,121,0.0000,0.1570
ä,ea,ea-ra,0,1,0.0000,0.0007,32,0.0000,0.0312
ä,ea,ea-upsid,0,21,0.0000,0.0064,82,0.0000,0.2561
