Phoneme	Dataset	Dataset_Occurrences	Dataset_Inventory_Ratio	Dataset_Ratio	Global_Occurrences	Global_Inventory_Ratio	Global_Ratio
aiː	upsid	0	0.0	0.0	1	0.0003	0.0
ai̯	aa	0	0.0	0.0	17	0.0049	0.0001
ai̯	ea	7	0.0193	0.0005	17	0.0049	0.0001
ai̯	er	0	0.0	0.0	17	0.0049	0.0001
ai̯	jipa	5	0.034	0.0008	17	0.0049	0.0001
ai̯	lapsyd	0	0.0	0.0	17	0.0049	0.0001
ai̯	phoible	5	0.0056	0.0001	17	0.0049	0.0001
ai̯	ra	0	0.0	0.0	17	0.0049	0.0001
ai̯	saphon	0	0.0	0.0	17	0.0049	0.0001
ai̯	upsid	0	0.0	0.0	17	0.0049	0.0001
ao	aa	0	0.0	0.0	14	0.004	0.0001
ao	ea	4	0.011	0.0003	14	0.004	0.0001
ao	er	0	0.0	0.0	14	0.004	0.0001
ao	jipa	0	0.0	0.0	14	0.004	0.0001
ao	lapsyd	5	0.0086	0.0003	14	0.004	0.0001
ao	phoible	5	0.0056	0.0001	14	0.004	0.0001
ao	ra	0	0.0	0.0	14	0.004	0.0001
ao	saphon	0	0.0	0.0	14	0.004	0.0001
ao	upsid	0	0.0	0.0	14	0.004	0.0001
ao̞	aa	0	0.0	0.0	4	0.0011	0.0
ao̞	ea	0	0.0	0.0	4	0.0011	0.0
ao̞	er	0	0.0	0.0	4	0.0011	0.0
ao̞	jipa	0	0.0	0.0	4	0.0011	0.0
ao̞	lapsyd	0	0.0	0.0	4	0.0011	0.0
ao̞	phoible	0	0.0	0.0	4	0.0011	0.0
ao̞	ra	0	0.0	0.0	4	0.0011	0.0
ao̞	saphon	0	0.0	0.0	4	0.0011	0.0
ao̞	upsid	4	0.0089	0.0003	4	0.0011	0.0
ao̞ˤ	aa	0	0.0	0.0	1	0.0003	0.0
ao̞ˤ	ea	0	0.0	0.0	1	0.0003	0.0
ao̞ˤ	er	0	0.0	0.0	1	0.0003	0.0
ao̞ˤ	jipa	0	0.0	0.0	1	0.0003	0.0
ao̞ˤ	lapsyd	0	0.0	0.0	1	0.0003	0.0
ao̞ˤ	phoible	0	0.0	0.0	1	0.0003	0.0
ao̞ˤ	ra	0	0.0	0.0	1	0.0003	0.0
ao̞ˤ	saphon	0	0.0	0.0	1	0.0003	0.0
ao̞ˤ	upsid	1	0.0022	0.0001	1	0.0003	0.0
ao̯	aa	0	0.0	0.0	1	0.0003	0.0
ao̯	ea	0	0.0	0.0	1	0.0003	0.0
ao̯	er	0	0.0	0.0	1	0.0003	0.0
ao̯	jipa	1	0.0068	0.0002	1	0.0003	0.0
ao̯	lapsyd	0	0.0	0.0	1	0.0003	0.0
ao̯	phoible	0	0.0	0.0	1	0.0003	0.0
ao̯	ra	0	0.0	0.0	1	0.0003	0.0
ao̯	saphon	0	0.0	0.0	1	0.0003	0.0
ao̯	upsid	0	0.0	0.0	1	0.0003	0.0
au	aa	1	0.0052	0.0001	116	0.0333	0.001
au	ea	18	0.0497	0.0012	116	0.0333	0.001
au	er	0	0.0	0.0	116	0.0333	0.001
au	jipa	14	0.0952	0.0023	116	0.0333	0.001
au	lapsyd	31	0.0531	0.0017	116	0.0333	0.001
au	phoible	34	0.0378	0.001	116	0.0333	0.001
au	ra	0	0.0	0.0	116	0.0333	0.001
au	saphon	0	0.0	0.0	116	0.0333	0.001
au	upsid	18	0.04	0.0013	116	0.0333	0.001
au̜	aa	0	0.0	0.0	1	0.0003	0.0
au̜	ea	0	0.0	0.0	1	0.0003	0.0
au̜	er	0	0.0	0.0	1	0.0003	0.0
au̜	jipa	0	0.0	0.0	1	0.0003	0.0
au̜	lapsyd	0	0.0	0.0	1	0.0003	0.0
au̜	phoible	1	0.0011	0.0	1	0.0003	0.0
au̜	ra	0	0.0	0.0	1	0.0003	0.0
au̜	saphon	0	0.0	0.0	1	0.0003	0.0
au̜	upsid	0	0.0	0.0	1	0.0003	0.0
au̯	aa	0	0.0	0.0	14	0.004	0.0001
au̯	ea	6	0.0166	0.0004	14	0.004	0.0001
au̯	er	0	0.0	0.0	14	0.004	0.0001
au̯	jipa	5	0.034	0.0008	14	0.004	0.0001
au̯	lapsyd	0	0.0	0.0	14	0.004	0.0001
au̯	phoible	3	0.0033	0.0001	14	0.004	0.0001
au̯	ra	0	0.0	0.0	14	0.004	0.0001
au̯	saphon	0	0.0	0.0	14	0.004	0.0001
au̯	upsid	0	0.0	0.0	14	0.004	0.0001
ay	aa	0	0.0	0.0	2	0.0006	0.0
ay	ea	0	0.0	0.0	2	0.0006	0.0
ay	er	0	0.0	0.0	2	0.0006	0.0
ay	jipa	0	0.0	0.0	2	0.0006	0.0
ay	lapsyd	0	0.0	0.0	2	0.0006	0.0
ay	phoible	2	0.0022	0.0001	2	0.0006	0.0
ay	ra	0	0.0	0.0	2	0.0006	0.0
ay	saphon	0	0.0	0.0	2	0.0006	0.0
ay	upsid	0	0.0	0.0	2	0.0006	0.0
aɔ	aa	0	0.0	0.0	1	0.0003	0.0
aɔ	ea	0	0.0	0.0	1	0.0003	0.0
aɔ	er	0	0.0	0.0	1	0.0003	0.0
aɔ	jipa	0	0.0	0.0	1	0.0003	0.0
aɔ	lapsyd	0	0.0	0.0	1	0.0003	0.0
aɔ	phoible	1	0.0011	0.0	1	0.0003	0.0
aɔ	ra	0	0.0	0.0	1	0.0003	0.0
aɔ	saphon	0	0.0	0.0	1	0.0003	0.0
aɔ	upsid	0	0.0	0.0	1	0.0003	0.0
aə	aa	0	0.0	0.0	2	0.0006	0.0
aə	ea	1	0.0028	0.0001	2	0.0006	0.0
aə	er	0	0.0	0.0	2	0.0006	0.0
aə	jipa	0	0.0	0.0	2	0.0006	0.0
aə	lapsyd	1	0.0017	0.0001	2	0.0006	0.0
aə	phoible	0	0.0	0.0	2	0.0006	0.0
aə	ra	0	0.0	0.0	2	0.0006	0.0
aə	saphon	0	0.0	0.0	2	0.0006	0.0
aə	upsid	0	0.0	0.0	2	0.0006	0.0
aɛ	aa	0	0.0	0.0	7	0.002	0.0001
aɛ	ea	1	0.0028	0.0001	7	0.002	0.0001
aɛ	er	0	0.0	0.0	7	0.002	0.0001
aɛ	jipa	1	0.0068	0.0002	7	0.002	0.0001
aɛ	lapsyd	0	0.0	0.0	7	0.002	0.0001
aɛ	phoible	4	0.0044	0.0001	7	0.002	0.0001
aɛ	ra	0	0.0	0.0	7	0.002	0.0001
aɛ	saphon	0	0.0	0.0	7	0.002	0.0001
aɛ	upsid	1	0.0022	0.0001	7	0.002	0.0001
aɛ̯	aa	0	0.0	0.0	1	0.0003	0.0
aɛ̯	ea	0	0.0	0.0	1	0.0003	0.0
aɛ̯	er	0	0.0	0.0	1	0.0003	0.0
aɛ̯	jipa	1	0.0068	0.0002	1	0.0003	0.0
aɛ̯	lapsyd	0	0.0	0.0	1	0.0003	0.0
aɛ̯	phoible	0	0.0	0.0	1	0.0003	0.0
aɛ̯	ra	0	0.0	0.0	1	0.0003	0.0
aɛ̯	saphon	0	0.0	0.0	1	0.0003	0.0
aɛ̯	upsid	0	0.0	0.0	1	0.0003	0.0
aɨ	aa	0	0.0	0.0	3	0.0009	0.0
aɨ	ea	0	0.0	0.0	3	0.0009	0.0
aɨ	er	0	0.0	0.0	3	0.0009	0.0
aɨ	jipa	0	0.0	0.0	3	0.0009	0.0
aɨ	lapsyd	1	0.0017	0.0001	3	0.0009	0.0
aɨ	phoible	0	0.0	0.0	3	0.0009	0.0
aɨ	ra	0	0.0	0.0	3	0.0009	0.0
aɨ	saphon	0	0.0	0.0	3	0.0009	0.0
aɨ	upsid	2	0.0044	0.0001	3	0.0009	0.0
aɪ	aa	0	0.0	0.0	28	0.008	0.0002
aɪ	ea	5	0.0138	0.0003	28	0.008	0.0002
aɪ	er	0	0.0	0.0	28	0.008	0.0002
aɪ	jipa	8	0.0544	0.0013	28	0.008	0.0002
aɪ	lapsyd	5	0.0086	0.0003	28	0.008	0.0002
aɪ	phoible	10	0.0111	0.0003	28	0.008	0.0002
aɪ	ra	0	0.0	0.0	28	0.008	0.0002
aɪ	saphon	0	0.0	0.0	28	0.008	0.0002
aɪ	upsid	0	0.0	0.0	28	0.008	0.0002
aɪ̃	aa	0	0.0	0.0	3	0.0009	0.0
aɪ̃	ea	2	0.0055	0.0001	3	0.0009	0.0
aɪ̃	er	0	0.0	0.0	3	0.0009	0.0
aɪ̃	jipa	1	0.0068	0.0002	3	0.0009	0.0
aɪ̃	lapsyd	0	0.0	0.0	3	0.0009	0.0
aɪ̃	phoible	0	0.0	0.0	3	0.0009	0.0
aɪ̃	ra	0	0.0	0.0	3	0.0009	0.0
aɪ̃	saphon	0	0.0	0.0	3	0.0009	0.0
aɪ̃	upsid	0	0.0	0.0	3	0.0009	0.0
aɯ	aa	0	0.0	0.0	4	0.0011	0.0
aɯ	ea	1	0.0028	0.0001	4	0.0011	0.0
aɯ	er	0	0.0	0.0	4	0.0011	0.0
aɯ	jipa	0	0.0	0.0	4	0.0011	0.0
aɯ	lapsyd	0	0.0	0.0	4	0.0011	0.0
aɯ	phoible	0	0.0	0.0	4	0.0011	0.0
aɯ	ra	0	0.0	0.0	4	0.0011	0.0
aɯ	saphon	0	0.0	0.0	4	0.0011	0.0
aɯ	upsid	3	0.0067	0.0002	4	0.0011	0.0
aɯ̃	aa	0	0.0	0.0	1	0.0003	0.0
aɯ̃	ea	1	0.0028	0.0001	1	0.0003	0.0
aɯ̃	er	0	0.0	0.0	1	0.0003	0.0
aɯ̃	jipa	0	0.0	0.0	1	0.0003	0.0
aɯ̃	lapsyd	0	0.0	0.0	1	0.0003	0.0
aɯ̃	phoible	0	0.0	0.0	1	0.0003	0.0
aɯ̃	ra	0	0.0	0.0	1	0.0003	0.0
aɯ̃	saphon	0	0.0	0.0	1	0.0003	0.0
aɯ̃	upsid	0	0.0	0.0	1	0.0003	0.0
aɵ̯	aa	0	0.0	0.0	2	0.0006	0.0
aɵ̯	ea	1	0.0028	0.0001	2	0.0006	0.0
aɵ̯	er	0	0.0	0.0	2	0.0006	0.0
aɵ̯	jipa	0	0.0	0.0	2	0.0006	0.0
aɵ̯	lapsyd	0	0.0	0.0	2	0.0006	0.0
aɵ̯	phoible	1	0.0011	0.0	2	0.0006	0.0
aɵ̯	ra	0	0.0	0.0	2	0.0006	0.0
aɵ̯	saphon	0	0.0	0.0	2	0.0006	0.0
aɵ̯	upsid	0	0.0	0.0	2	0.0006	0.0
aʉ	aa	0	0.0	0.0	2	0.0006	0.0
aʉ	ea	0	0.0	0.0	2	0.0006	0.0
aʉ	er	0	0.0	0.0	2	0.0006	0.0
aʉ	jipa	0	0.0	0.0	2	0.0006	0.0
aʉ	lapsyd	2	0.0034	0.0001	2	0.0006	0.0
aʉ	phoible	0	0.0	0.0	2	0.0006	0.0
aʉ	ra	0	0.0	0.0	2	0.0006	0.0
aʉ	saphon	0	0.0	0.0	2	0.0006	0.0
aʉ	upsid	0	0.0	0.0	2	0.0006	0.0
aʊ	aa	0	0.0	0.0	22	0.0063	0.0002
aʊ	ea	3	0.0083	0.0002	22	0.0063	0.0002
aʊ	er	0	0.0	0.0	22	0.0063	0.0002
aʊ	jipa	7	0.0476	0.0011	22	0.0063	0.0002
aʊ	lapsyd	5	0.0086	0.0003	22	0.0063	0.0002
aʊ	phoible	7	0.0078	0.0002	22	0.0063	0.0002
aʊ	ra	0	0.0	0.0	22	0.0063	0.0002
aʊ	saphon	0	0.0	0.0	22	0.0063	0.0002
aʊ	upsid	0	0.0	0.0	22	0.0063	0.0002
aʊ̃	aa	0	0.0	0.0	2	0.0006	0.0
aʊ̃	ea	1	0.0028	0.0001	2	0.0006	0.0
aʊ̃	er	0	0.0	0.0	2	0.0006	0.0
aʊ̃	jipa	1	0.0068	0.0002	2	0.0006	0.0
aʊ̃	lapsyd	0	0.0	0.0	2	0.0006	0.0
aʊ̃	phoible	0	0.0	0.0	2	0.0006	0.0
aʊ̃	ra	0	0.0	0.0	2	0.0006	0.0
aʊ̃	saphon	0	0.0	0.0	2	0.0006	0.0
aʊ̃	upsid	0	0.0	0.0	2	0.0006	0.0
aˀ	aa	0	0.0	0.0	2	0.0006	0.0
aˀ	ea	0	0.0	0.0	2	0.0006	0.0
aˀ	er	0	0.0	0.0	2	0.0006	0.0
aˀ	jipa	1	0.0068	0.0002	2	0.0006	0.0
aˀ	lapsyd	0	0.0	0.0	2	0.0006	0.0
aˀ	phoible	1	0.0011	0.0	2	0.0006	0.0
aˀ	ra	0	0.0	0.0	2	0.0006	0.0
aˀ	saphon	0	0.0	0.0	2	0.0006	0.0
aˀ	upsid	0	0.0	0.0	2	0.0006	0.0
aː	aa	81	0.4175	0.0113	1045	0.3003	0.0089
aː	ea	72	0.1989	0.0047	1045	0.3003	0.0089
aː	er	179	0.4578	0.019	1045	0.3003	0.0089
aː	jipa	49	0.3333	0.008	1045	0.3003	0.0089
aː	lapsyd	206	0.3527	0.0113	1045	0.3003	0.0089
aː	phoible	302	0.3359	0.0091	1045	0.3003	0.0089
aː	ra	37	0.3776	0.009	1045	0.3003	0.0089
aː	saphon	85	0.2394	0.0094	1045	0.3003	0.0089
aː	upsid	34	0.0756	0.0024	1045	0.3003	0.0089
aːi	aa	0	0.0	0.0	2	0.0006	0.0
aːi	ea	1	0.0028	0.0001	2	0.0006	0.0
aːi	er	0	0.0	0.0	2	0.0006	0.0
aːi	jipa	1	0.0068	0.0002	2	0.0006	0.0
aːi	lapsyd	0	0.0	0.0	2	0.0006	0.0
aːi	phoible	0	0.0	0.0	2	0.0006	0.0
aːi	ra	0	0.0	0.0	2	0.0006	0.0
aːi	saphon	0	0.0	0.0	2	0.0006	0.0
aːi	upsid	0	0.0	0.0	2	0.0006	0.0
aːĭ	aa	0	0.0	0.0	1	0.0003	0.0
aːĭ	ea	0	0.0	0.0	1	0.0003	0.0
aːĭ	er	0	0.0	0.0	1	0.0003	0.0
aːĭ	jipa	0	0.0	0.0	1	0.0003	0.0
aːĭ	lapsyd	0	0.0	0.0	1	0.0003	0.0
aːĭ	phoible	1	0.0011	0.0	1	0.0003	0.0
aːĭ	ra	0	0.0	0.0	1	0.0003	0.0
aːĭ	saphon	0	0.0	0.0	1	0.0003	0.0
aːĭ	upsid	0	0.0	0.0	1	0.0003	0.0
aːi̯	aa	0	0.0	0.0	1	0.0003	0.0
aːi̯	ea	1	0.0028	0.0001	1	0.0003	0.0
aːi̯	er	0	0.0	0.0	1	0.0003	0.0
aːi̯	jipa	0	0.0	0.0	1	0.0003	0.0
aːi̯	lapsyd	0	0.0	0.0	1	0.0003	0.0
aːi̯	phoible	0	0.0	0.0	1	0.0003	0.0
aːi̯	ra	0	0.0	0.0	1	0.0003	0.0
aːi̯	saphon	0	0.0	0.0	1	0.0003	0.0
aːi̯	upsid	0	0.0	0.0	1	0.0003	0.0
aːu	aa	0	0.0	0.0	3	0.0009	0.0
aːu	ea	2	0.0055	0.0001	3	0.0009	0.0
aːu	er	0	0.0	0.0	3	0.0009	0.0
aːu	jipa	1	0.0068	0.0002	3	0.0009	0.0
aːu	lapsyd	0	0.0	0.0	3	0.0009	0.0
aːu	phoible	0	0.0	0.0	3	0.0009	0.0
aːu	ra	0	0.0	0.0	3	0.0009	0.0
aːu	saphon	0	0.0	0.0	3	0.0009	0.0
aːu	upsid	0	0.0	0.0	3	0.0009	0.0
aːŭ	aa	0	0.0	0.0	1	0.0003	0.0
aːŭ	ea	0	0.0	0.0	1	0.0003	0.0
aːŭ	er	0	0.0	0.0	1	0.0003	0.0
aːŭ	jipa	0	0.0	0.0	1	0.0003	0.0
aːŭ	lapsyd	0	0.0	0.0	1	0.0003	0.0
aːŭ	phoible	1	0.0011	0.0	1	0.0003	0.0
aːŭ	ra	0	0.0	0.0	1	0.0003	0.0
aːŭ	saphon	0	0.0	0.0	1	0.0003	0.0
aːŭ	upsid	0	0.0	0.0	1	0.0003	0.0
aːu̯	aa	0	0.0	0.0	1	0.0003	0.0
aːu̯	ea	1	0.0028	0.0001	1	0.0003	0.0
aːu̯	er	0	0.0	0.0	1	0.0003	0.0
aːu̯	jipa	0	0.0	0.0	1	0.0003	0.0
aːu̯	lapsyd	0	0.0	0.0	1	0.0003	0.0
aːu̯	phoible	0	0.0	0.0	1	0.0003	0.0
aːu̯	ra	0	0.0	0.0	1	0.0003	0.0
aːu̯	saphon	0	0.0	0.0	1	0.0003	0.0
aːu̯	upsid	0	0.0	0.0	1	0.0003	0.0
aːɨ	aa	0	0.0	0.0	1	0.0003	0.0
aːɨ	ea	0	0.0	0.0	1	0.0003	0.0
aːɨ	er	0	0.0	0.0	1	0.0003	0.0
aːɨ	jipa	0	0.0	0.0	1	0.0003	0.0
aːɨ	lapsyd	1	0.0017	0.0001	1	0.0003	0.0
aːɨ	phoible	0	0.0	0.0	1	0.0003	0.0
aːɨ	ra	0	0.0	0.0	1	0.0003	0.0
aːɨ	saphon	0	0.0	0.0	1	0.0003	0.0
aːɨ	upsid	0	0.0	0.0	1	0.0003	0.0
aːɪ	aa	0	0.0	0.0	1	0.0003	0.0
aːɪ	ea	1	0.0028	0.0001	1	0.0003	0.0
aːɪ	er	0	0.0	0.0	1	0.0003	0.0
aːɪ	jipa	0	0.0	0.0	1	0.0003	0.0
aːɪ	lapsyd	0	0.0	0.0	1	0.0003	0.0
aːɪ	phoible	0	0.0	0.0	1	0.0003	0.0
aːɪ	ra	0	0.0	0.0	1	0.0003	0.0
aːɪ	saphon	0	0.0	0.0	1	0.0003	0.0
aːɪ	upsid	0	0.0	0.0	1	0.0003	0.0
aˑ	aa	0	0.0	0.0	9	0.0026	0.0001
aˑ	ea	0	0.0	0.0	9	0.0026	0.0001
aˑ	er	0	0.0	0.0	9	0.0026	0.0001
aˑ	jipa	3	0.0204	0.0005	9	0.0026	0.0001
aˑ	lapsyd	0	0.0	0.0	9	0.0026	0.0001
aˑ	phoible	2	0.0022	0.0001	9	0.0026	0.0001
aˑ	ra	4	0.0408	0.001	9	0.0026	0.0001
aˑ	saphon	0	0.0	0.0	9	0.0026	0.0001
aˑ	upsid	0	0.0	0.0	9	0.0026	0.0001
a˞	aa	0	0.0	0.0	4	0.0011	0.0
a˞	ea	1	0.0028	0.0001	4	0.0011	0.0
a˞	er	0	0.0	0.0	4	0.0011	0.0
a˞	jipa	1	0.0068	0.0002	4	0.0011	0.0
a˞	lapsyd	0	0.0	0.0	4	0.0011	0.0
a˞	phoible	1	0.0011	0.0	4	0.0011	0.0
a˞	ra	0	0.0	0.0	4	0.0011	0.0
a˞	saphon	0	0.0	0.0	4	0.0011	0.0
a˞	upsid	1	0.0022	0.0001	4	0.0011	0.0
a˞ː	aa	0	0.0	0.0	1	0.0003	0.0
a˞ː	ea	1	0.0028	0.0001	1	0.0003	0.0
a˞ː	er	0	0.0	0.0	1	0.0003	0.0
a˞ː	jipa	0	0.0	0.0	1	0.0003	0.0
a˞ː	lapsyd	0	0.0	0.0	1	0.0003	0.0
a˞ː	phoible	0	0.0	0.0	1	0.0003	0.0
a˞ː	ra	0	0.0	0.0	1	0.0003	0.0
a˞ː	saphon	0	0.0	0.0	1	0.0003	0.0
a˞ː	upsid	0	0.0	0.0	1	0.0003	0.0
a˞ˤ	aa	0	0.0	0.0	1	0.0003	0.0
a˞ˤ	ea	1	0.0028	0.0001	1	0.0003	0.0
a˞ˤ	er	0	0.0	0.0	1	0.0003	0.0
a˞ˤ	jipa	0	0.0	0.0	1	0.0003	0.0
a˞ˤ	lapsyd	0	0.0	0.0	1	0.0003	0.0
a˞ˤ	phoible	0	0.0	0.0	1	0.0003	0.0
a˞ˤ	ra	0	0.0	0.0	1	0.0003	0.0
a˞ˤ	saphon	0	0.0	0.0	1	0.0003	0.0
a˞ˤ	upsid	0	0.0	0.0	1	0.0003	0.0
aˠ	aa	1	0.0052	0.0001	2	0.0006	0.0
aˠ	ea	0	0.0	0.0	2	0.0006	0.0
aˠ	er	0	0.0	0.0	2	0.0006	0.0
aˠ	jipa	1	0.0068	0.0002	2	0.0006	0.0
aˠ	lapsyd	0	0.0	0.0	2	0.0006	0.0
aˠ	phoible	0	0.0	0.0	2	0.0006	0.0
aˠ	ra	0	0.0	0.0	2	0.0006	0.0
aˠ	saphon	0	0.0	0.0	2	0.0006	0.0
aˠ	upsid	0	0.0	0.0	2	0.0006	0.0
aˤ	aa	0	0.0	0.0	7	0.002	0.0001
aˤ	ea	1	0.0028	0.0001	7	0.002	0.0001
aˤ	er	0	0.0	0.0	7	0.002	0.0001
aˤ	jipa	1	0.0068	0.0002	7	0.002	0.0001
aˤ	lapsyd	1	0.0017	0.0001	7	0.002	0.0001
aˤ	phoible	1	0.0011	0.0	7	0.002	0.0001
aˤ	ra	0	0.0	0.0	7	0.002	0.0001
aˤ	saphon	0	0.0	0.0	7	0.002	0.0001
aˤ	upsid	3	0.0067	0.0002	7	0.002	0.0001
aˤː	aa	0	0.0	0.0	4	0.0011	0.0
aˤː	ea	2	0.0055	0.0001	4	0.0011	0.0
aˤː	er	0	0.0	0.0	4	0.0011	0.0
aˤː	jipa	0	0.0	0.0	4	0.0011	0.0
aˤː	lapsyd	0	0.0	0.0	4	0.0011	0.0
aˤː	phoible	0	0.0	0.0	4	0.0011	0.0
aˤː	ra	0	0.0	0.0	4	0.0011	0.0
aˤː	saphon	0	0.0	0.0	4	0.0011	0.0
aˤː	upsid	2	0.0044	0.0001	4	0.0011	0.0
ã	aa	72	0.3711	0.01	592	0.1701	0.0051
ã	ea	37	0.1022	0.0024	592	0.1701	0.0051
ã	er	1	0.0026	0.0001	592	0.1701	0.0051
ã	jipa	16	0.1088	0.0026	592	0.1701	0.0051
ã	lapsyd	101	0.1729	0.0055	592	0.1701	0.0051
ã	phoible	129	0.1435	0.0039	592	0.1701	0.0051
ã	ra	6	0.0612	0.0015	592	0.1701	0.0051
ã	saphon	147	0.4141	0.0163	592	0.1701	0.0051
ã	upsid	83	0.1844	0.006	592	0.1701	0.0051
ãẽ	aa	0	0.0	0.0	1	0.0003	0.0
ãẽ	ea	0	0.0	0.0	1	0.0003	0.0
ãẽ	er	0	0.0	0.0	1	0.0003	0.0
ãẽ	jipa	0	0.0	0.0	1	0.0003	0.0
ãẽ	lapsyd	1	0.0017	0.0001	1	0.0003	0.0
ãẽ	phoible	0	0.0	0.0	1	0.0003	0.0
ãẽ	ra	0	0.0	0.0	1	0.0003	0.0
ãẽ	saphon	0	0.0	0.0	1	0.0003	0.0
ãẽ	upsid	0	0.0	0.0	1	0.0003	0.0
ãẽ̞ˤ	aa	0	0.0	0.0	1	0.0003	0.0
ãẽ̞ˤ	ea	0	0.0	0.0	1	0.0003	0.0
ãẽ̞ˤ	er	0	0.0	0.0	1	0.0003	0.0
ãẽ̞ˤ	jipa	0	0.0	0.0	1	0.0003	0.0
ãẽ̞ˤ	lapsyd	0	0.0	0.0	1	0.0003	0.0
ãẽ̞ˤ	phoible	0	0.0	0.0	1	0.0003	0.0
ãẽ̞ˤ	ra	0	0.0	0.0	1	0.0003	0.0
ãẽ̞ˤ	saphon	0	0.0	0.0	1	0.0003	0.0
ãẽ̞ˤ	upsid	1	0.0022	0.0001	1	0.0003	0.0
ãi	aa	0	0.0	0.0	2	0.0006	0.0
ãi	ea	0	0.0	0.0	2	0.0006	0.0
ãi	er	0	0.0	0.0	2	0.0006	0.0
ãi	jipa	0	0.0	0.0	2	0.0006	0.0
ãi	lapsyd	0	0.0	0.0	2	0.0006	0.0
ãi	phoible	1	0.0011	0.0	2	0.0006	0.0
ãi	ra	0	0.0	0.0	2	0.0006	0.0
ãi	saphon	1	0.0028	0.0001	2	0.0006	0.0
ãi	upsid	0	0.0	0.0	2	0.0006	0.0
ãĩ	aa	0	0.0	0.0	6	0.0017	0.0001
ãĩ	ea	1	0.0028	0.0001	6	0.0017	0.0001
ãĩ	er	0	0.0	0.0	6	0.0017	0.0001
