Phoneme	Dataset	Dataset_Count	Global_Count	Dataset_Ratio	Global_Ratio	Dataset_InvRatio	Global_InvRatio	Phoneme_Dataset_Ratio
i̯e	jipa	4	10	0.0003	0.0	0.0136	0.0014	0.3333
i̯e	phoible	2	10	0.0	0.0	0.0011	0.0014	0.3333
i̯ẽ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯ẽ	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
i̯e̞	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯e̞	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
i̯o	ALL	6	6	0.0	0.0	0.0009	0.0009	0.2222
i̯o	jipa	4	6	0.0003	0.0	0.0136	0.0009	0.2222
i̯o	phoible	2	6	0.0	0.0	0.0011	0.0009	0.2222
i̯u	ALL	8	8	0.0	0.0	0.0011	0.0011	0.2222
i̯u	jipa	4	8	0.0003	0.0	0.0136	0.0011	0.2222
i̯u	phoible	4	8	0.0001	0.0	0.0022	0.0011	0.2222
i̯y	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯y	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
i̯æ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯æ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
i̯ø	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯ø	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
i̯œ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯œ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
i̯œ̞	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯œ̞	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
i̯ɑ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯ɑ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
i̯ɒ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯ɒ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
i̯ɔ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
i̯ɔ	phoible	4	4	0.0001	0.0	0.0022	0.0006	0.1111
i̯ɛ	ALL	10	10	0.0	0.0	0.0014	0.0014	0.3333
i̯ɛ	ea	4	10	0.0001	0.0	0.0055	0.0014	0.3333
i̯ɛ	jipa	2	10	0.0002	0.0	0.0068	0.0014	0.3333
i̯ɛ	phoible	4	10	0.0001	0.0	0.0022	0.0014	0.3333
i̯ɛ̃	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̯ɛ̃	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
i̯ʌ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
i̯ʌ	jipa	2	4	0.0002	0.0	0.0068	0.0006	0.2222
i̯ʌ	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
i̯ː	ALL	6	6	0.0	0.0	0.0009	0.0009	0.2222
i̯ː	ea	4	6	0.0001	0.0	0.0055	0.0009	0.2222
i̯ː	phoible	2	6	0.0	0.0	0.0011	0.0009	0.2222
ĩ̯	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
ĩ̯	ea	4	4	0.0001	0.0	0.0055	0.0006	0.1111
ḭ	ALL	64	64	0.0003	0.0003	0.0092	0.0092	0.6667
ḭ	ea	6	64	0.0002	0.0003	0.0083	0.0092	0.6667
ḭ	jipa	6	64	0.0005	0.0003	0.0204	0.0092	0.6667
ḭ	lapsyd	16	64	0.0004	0.0003	0.0137	0.0092	0.6667
ḭ	phoible	12	64	0.0002	0.0003	0.0067	0.0092	0.6667
ḭ	saphon	16	64	0.0009	0.0003	0.0225	0.0092	0.6667
ḭ	upsid	8	64	0.0003	0.0003	0.0089	0.0092	0.6667
ḭḛ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ḭḛ	lapsyd	2	2	0.0001	0.0	0.0017	0.0003	0.1111
ḭu	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ḭu	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
ḭə̰	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ḭə̰	lapsyd	2	2	0.0001	0.0	0.0017	0.0003	0.1111
ḭː	ALL	8	8	0.0	0.0	0.0011	0.0011	0.3333
ḭː	ea	2	8	0.0001	0.0	0.0028	0.0011	0.3333
ḭː	lapsyd	4	8	0.0001	0.0	0.0034	0.0011	0.3333
ḭː	phoible	2	8	0.0	0.0	0.0011	0.0011	0.3333
ḭˑ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ḭˑ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
ḭ̃	ALL	26	26	0.0001	0.0001	0.0037	0.0037	0.5556
ḭ̃	jipa	2	26	0.0002	0.0001	0.0068	0.0037	0.5556
ḭ̃	lapsyd	10	26	0.0003	0.0001	0.0086	0.0037	0.5556
ḭ̃	phoible	4	26	0.0001	0.0001	0.0022	0.0037	0.5556
ḭ̃	saphon	8	26	0.0004	0.0001	0.0113	0.0037	0.5556
ḭ̃	upsid	2	26	0.0001	0.0001	0.0022	0.0037	0.5556
ḭ̃ə̰̃	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
ḭ̃ə̰̃	lapsyd	2	2	0.0001	0.0	0.0017	0.0003	0.1111
i̽	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i̽	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
i͓	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
i͓	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
j	ALL	6248	6248	0.0267	0.0267	0.8977	0.8977	1.0
j	aa	382	6248	0.0266	0.0267	0.9845	0.8977	1.0
j	ea	656	6248	0.0213	0.0267	0.9061	0.8977	1.0
j	er	782	6248	0.0416	0.0267	1.0	0.8977	1.0
j	jipa	260	6248	0.0212	0.0267	0.8844	0.8977	1.0
j	lapsyd	1038	6248	0.0284	0.0267	0.8887	0.8977	1.0
j	phoible	1618	6248	0.0243	0.0267	0.8999	0.8977	1.0
j	ra	176	6248	0.0214	0.0267	0.898	0.8977	1.0
j	saphon	582	6248	0.0322	0.0267	0.8197	0.8977	1.0
j	upsid	754	6248	0.0271	0.0267	0.8378	0.8977	1.0
jʱ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
jʱ	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
jʱ	ra	2	4	0.0002	0.0	0.0102	0.0006	0.2222
jʷ	ALL	50	50	0.0002	0.0002	0.0072	0.0072	0.4444
jʷ	aa	4	50	0.0003	0.0002	0.0103	0.0072	0.4444
jʷ	er	20	50	0.0011	0.0002	0.0256	0.0072	0.4444
jʷ	jipa	2	50	0.0002	0.0002	0.0068	0.0072	0.4444
jʷ	phoible	24	50	0.0004	0.0002	0.0133	0.0072	0.4444
jˀ	ALL	20	20	0.0001	0.0001	0.0029	0.0029	0.1111
jˀ	phoible	20	20	0.0003	0.0001	0.0111	0.0029	0.1111
jː	ALL	98	98	0.0004	0.0004	0.0141	0.0141	0.5556
jː	aa	2	98	0.0001	0.0004	0.0052	0.0141	0.5556
jː	ea	2	98	0.0001	0.0004	0.0028	0.0141	0.5556
jː	jipa	26	98	0.0021	0.0004	0.0884	0.0141	0.5556
jː	phoible	66	98	0.001	0.0004	0.0367	0.0141	0.5556
jː	saphon	2	98	0.0001	0.0004	0.0028	0.0141	0.5556
jˤ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
jˤ	aa	2	2	0.0001	0.0	0.0052	0.0003	0.1111
j̃	ALL	34	34	0.0001	0.0001	0.0049	0.0049	0.6667
j̃	ea	6	34	0.0002	0.0001	0.0083	0.0049	0.6667
j̃	jipa	4	34	0.0003	0.0001	0.0136	0.0049	0.6667
j̃	lapsyd	8	34	0.0002	0.0001	0.0068	0.0049	0.6667
j̃	phoible	10	34	0.0001	0.0001	0.0056	0.0049	0.6667
j̃	saphon	2	34	0.0001	0.0001	0.0028	0.0049	0.6667
j̃	upsid	4	34	0.0001	0.0001	0.0044	0.0049	0.6667
j̊	ALL	66	66	0.0003	0.0003	0.0095	0.0095	0.4444
j̊	ea	14	66	0.0005	0.0003	0.0193	0.0095	0.4444
j̊	lapsyd	22	66	0.0006	0.0003	0.0188	0.0095	0.4444
j̊	phoible	12	66	0.0002	0.0003	0.0067	0.0095	0.4444
j̊	upsid	18	66	0.0006	0.0003	0.02	0.0095	0.4444
j̟	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
j̟	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
j̥ʷ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
j̥ʷ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
j̰	ALL	106	106	0.0005	0.0005	0.0152	0.0152	0.4444
j̰	lapsyd	46	106	0.0013	0.0005	0.0394	0.0152	0.4444
j̰	phoible	16	106	0.0002	0.0005	0.0089	0.0152	0.4444
j̰	saphon	10	106	0.0006	0.0005	0.0141	0.0152	0.4444
j̰	upsid	34	106	0.0012	0.0005	0.0378	0.0152	0.4444
j̻	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
j̻	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
k	ALL	6414	6414	0.0275	0.0275	0.9216	0.9216	1.0
k	aa	388	6414	0.027	0.0275	1.0	0.9216	1.0
k	ea	598	6414	0.0194	0.0275	0.826	0.9216	1.0
k	er	642	6414	0.0342	0.0275	0.821	0.9216	1.0
k	jipa	286	6414	0.0234	0.0275	0.9728	0.9216	1.0
k	lapsyd	1124	6414	0.0308	0.0275	0.9623	0.9216	1.0
k	phoible	1680	6414	0.0252	0.0275	0.9344	0.9216	1.0
k	ra	192	6414	0.0233	0.0275	0.9796	0.9216	1.0
k	saphon	700	6414	0.0387	0.0275	0.9859	0.9216	1.0
k	upsid	804	6414	0.0289	0.0275	0.8933	0.9216	1.0
kg	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kg	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
kp	ALL	788	788	0.0034	0.0034	0.1132	0.1132	0.6667
kp	aa	224	788	0.0156	0.0034	0.5773	0.1132	0.6667
kp	jipa	18	788	0.0015	0.0034	0.0612	0.1132	0.6667
kp	lapsyd	64	788	0.0018	0.0034	0.0548	0.1132	0.6667
kp	phoible	410	788	0.0061	0.0034	0.228	0.1132	0.6667
kp	saphon	2	788	0.0001	0.0034	0.0028	0.1132	0.6667
kp	upsid	70	788	0.0025	0.0034	0.0778	0.1132	0.6667
kpʰ	ALL	10	10	0.0	0.0	0.0014	0.0014	0.4444
kpʰ	aa	2	10	0.0001	0.0	0.0052	0.0014	0.4444
kpʰ	lapsyd	2	10	0.0001	0.0	0.0017	0.0014	0.4444
kpʰ	phoible	4	10	0.0001	0.0	0.0022	0.0014	0.4444
kpʰ	upsid	2	10	0.0001	0.0	0.0022	0.0014	0.4444
kpʲ	ALL	8	8	0.0	0.0	0.0011	0.0011	0.1111
kpʲ	phoible	8	8	0.0001	0.0	0.0044	0.0011	0.1111
kpʳ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kpʳ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
kpʷ	ALL	12	12	0.0001	0.0001	0.0017	0.0017	0.3333
kpʷ	lapsyd	2	12	0.0001	0.0001	0.0017	0.0017	0.3333
kpʷ	phoible	8	12	0.0001	0.0001	0.0044	0.0017	0.3333
kpʷ	upsid	2	12	0.0001	0.0001	0.0022	0.0017	0.3333
kpː	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
kpː	phoible	4	4	0.0001	0.0	0.0022	0.0006	0.1111
kpˤ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kpˤ	aa	2	2	0.0001	0.0	0.0052	0.0003	0.1111
kpⁿ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
kpⁿ	lapsyd	2	4	0.0001	0.0	0.0017	0.0006	0.2222
kpⁿ	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
kx	ALL	24	24	0.0001	0.0001	0.0034	0.0034	0.5556
kx	ea	6	24	0.0002	0.0001	0.0083	0.0034	0.5556
kx	jipa	2	24	0.0002	0.0001	0.0068	0.0034	0.5556
kx	lapsyd	4	24	0.0001	0.0001	0.0034	0.0034	0.5556
kx	phoible	10	24	0.0001	0.0001	0.0056	0.0034	0.5556
kx	upsid	2	24	0.0001	0.0001	0.0022	0.0034	0.5556
kxʰ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
kxʰ	upsid	4	4	0.0001	0.0	0.0044	0.0006	0.1111
kxʰː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kxʰː	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
kxʷ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kxʷ	lapsyd	2	2	0.0001	0.0	0.0017	0.0003	0.1111
kxʷʰ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kxʷʰ	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
kxʼ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kxʼ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
kxʼː	ALL	6	6	0.0	0.0	0.0009	0.0009	0.2222
kxʼː	ea	4	6	0.0001	0.0	0.0055	0.0009	0.2222
kxʼː	upsid	2	6	0.0001	0.0	0.0022	0.0009	0.2222
kxː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kxː	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
kʟ̥ʼ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kʟ̥ʼ	upsid	2	2	0.0001	0.0	0.0022	0.0003	0.1111
kʰ	ALL	1268	1268	0.0054	0.0054	0.1822	0.1822	0.8889
kʰ	aa	4	1268	0.0003	0.0054	0.0103	0.1822	0.8889
kʰ	ea	378	1268	0.0123	0.0054	0.5221	0.1822	0.8889
kʰ	jipa	58	1268	0.0047	0.0054	0.1973	0.1822	0.8889
kʰ	lapsyd	188	1268	0.0051	0.0054	0.161	0.1822	0.8889
kʰ	phoible	234	1268	0.0035	0.0054	0.1301	0.1822	0.8889
kʰ	ra	116	1268	0.0141	0.0054	0.5918	0.1822	0.8889
kʰ	saphon	84	1268	0.0046	0.0054	0.1183	0.1822	0.8889
kʰ	upsid	206	1268	0.0074	0.0054	0.2289	0.1822	0.8889
kʰː	ALL	20	20	0.0001	0.0001	0.0029	0.0029	0.3333
kʰː	ea	2	20	0.0001	0.0001	0.0028	0.0029	0.3333
kʰː	jipa	8	20	0.0007	0.0001	0.0272	0.0029	0.3333
kʰː	phoible	10	20	0.0001	0.0001	0.0056	0.0029	0.3333
kʱ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
kʱ	upsid	4	4	0.0001	0.0	0.0044	0.0006	0.1111
kʲ	ALL	232	232	0.001	0.001	0.0333	0.0333	0.7778
kʲ	aa	8	232	0.0006	0.001	0.0206	0.0333	0.7778
kʲ	ea	32	232	0.001	0.001	0.0442	0.0333	0.7778
kʲ	jipa	8	232	0.0007	0.001	0.0272	0.0333	0.7778
kʲ	lapsyd	32	232	0.0009	0.001	0.0274	0.0333	0.7778
kʲ	phoible	100	232	0.0015	0.001	0.0556	0.0333	0.7778
kʲ	saphon	26	232	0.0014	0.001	0.0366	0.0333	0.7778
kʲ	upsid	26	232	0.0009	0.001	0.0289	0.0333	0.7778
kʲʰ	ALL	36	36	0.0002	0.0002	0.0052	0.0052	0.5556
kʲʰ	ea	18	36	0.0006	0.0002	0.0249	0.0052	0.5556
kʲʰ	lapsyd	8	36	0.0002	0.0002	0.0068	0.0052	0.5556
kʲʰ	phoible	2	36	0.0	0.0002	0.0011	0.0052	0.5556
kʲʰ	saphon	2	36	0.0001	0.0002	0.0028	0.0052	0.5556
kʲʰ	upsid	6	36	0.0002	0.0002	0.0067	0.0052	0.5556
kʲʷ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kʲʷ	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
kʲʷʰ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kʲʷʰ	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
kʲː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kʲː	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
kʳ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kʳ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
kʳʷ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kʳʷ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
kʷ	ALL	928	928	0.004	0.004	0.1333	0.1333	0.8889
kʷ	aa	48	928	0.0033	0.004	0.1237	0.1333	0.8889
kʷ	ea	40	928	0.0013	0.004	0.0552	0.1333	0.8889
kʷ	er	22	928	0.0012	0.004	0.0281	0.1333	0.8889
kʷ	jipa	44	928	0.0036	0.004	0.1497	0.1333	0.8889
kʷ	lapsyd	208	928	0.0057	0.004	0.1781	0.1333	0.8889
kʷ	phoible	304	928	0.0046	0.004	0.1691	0.1333	0.8889
kʷ	saphon	142	928	0.0079	0.004	0.2	0.1333	0.8889
kʷ	upsid	120	928	0.0043	0.004	0.1333	0.1333	0.8889
kʷʰ	ALL	118	118	0.0005	0.0005	0.017	0.017	0.5556
kʷʰ	ea	38	118	0.0012	0.0005	0.0525	0.017	0.5556
kʷʰ	jipa	4	118	0.0003	0.0005	0.0136	0.017	0.5556
kʷʰ	lapsyd	18	118	0.0005	0.0005	0.0154	0.017	0.5556
kʷʰ	phoible	16	118	0.0002	0.0005	0.0089	0.017	0.5556
kʷʰ	upsid	42	118	0.0015	0.0005	0.0467	0.017	0.5556
kʷʰː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kʷʰː	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
kʷˀ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
kʷˀ	upsid	4	4	0.0001	0.0	0.0044	0.0006	0.1111
kʷː	ALL	28	28	0.0001	0.0001	0.004	0.004	0.5556
kʷː	ea	4	28	0.0001	0.0001	0.0055	0.004	0.5556
kʷː	jipa	10	28	0.0008	0.0001	0.034	0.004	0.5556
kʷː	phoible	8	28	0.0001	0.0001	0.0044	0.004	0.5556
kʷː	saphon	2	28	0.0001	0.0001	0.0028	0.004	0.5556
kʷː	upsid	4	28	0.0001	0.0001	0.0044	0.004	0.5556
kʼ	ALL	572	572	0.0024	0.0024	0.0822	0.0822	0.6667
kʼ	ea	80	572	0.0026	0.0024	0.1105	0.0822	0.6667
kʼ	jipa	16	572	0.0013	0.0024	0.0544	0.0822	0.6667
kʼ	lapsyd	146	572	0.004	0.0024	0.125	0.0822	0.6667
kʼ	phoible	154	572	0.0023	0.0024	0.0857	0.0822	0.6667
kʼ	saphon	50	572	0.0028	0.0024	0.0704	0.0822	0.6667
kʼ	upsid	126	572	0.0045	0.0024	0.14	0.0822	0.6667
kʼʲ	ALL	66	66	0.0003	0.0003	0.0095	0.0095	0.6667
kʼʲ	ea	10	66	0.0003	0.0003	0.0138	0.0095	0.6667
kʼʲ	jipa	4	66	0.0003	0.0003	0.0136	0.0095	0.6667
kʼʲ	lapsyd	12	66	0.0003	0.0003	0.0103	0.0095	0.6667
kʼʲ	phoible	32	66	0.0005	0.0003	0.0178	0.0095	0.6667
kʼʲ	saphon	2	66	0.0001	0.0003	0.0028	0.0095	0.6667
kʼʲ	upsid	6	66	0.0002	0.0003	0.0067	0.0095	0.6667
kʼʲʷ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kʼʲʷ	ea	2	2	0.0001	0.0	0.0028	0.0003	0.1111
kʼʷ	ALL	198	198	0.0008	0.0008	0.0284	0.0284	0.6667
kʼʷ	ea	42	198	0.0014	0.0008	0.058	0.0284	0.6667
kʼʷ	jipa	12	198	0.001	0.0008	0.0408	0.0284	0.6667
kʼʷ	lapsyd	50	198	0.0014	0.0008	0.0428	0.0284	0.6667
kʼʷ	phoible	46	198	0.0007	0.0008	0.0256	0.0284	0.6667
kʼʷ	saphon	2	198	0.0001	0.0008	0.0028	0.0284	0.6667
kʼʷ	upsid	46	198	0.0017	0.0008	0.0511	0.0284	0.6667
kʼʷː	ALL	6	6	0.0	0.0	0.0009	0.0009	0.3333
kʼʷː	ea	2	6	0.0001	0.0	0.0028	0.0009	0.3333
kʼʷː	jipa	2	6	0.0002	0.0	0.0068	0.0009	0.3333
kʼʷː	phoible	2	6	0.0	0.0	0.0011	0.0009	0.3333
kʼː	ALL	22	22	0.0001	0.0001	0.0032	0.0032	0.2222
kʼː	ea	2	22	0.0001	0.0001	0.0028	0.0032	0.2222
kʼː	phoible	20	22	0.0003	0.0001	0.0111	0.0032	0.2222
kˀ	ALL	12	12	0.0001	0.0001	0.0017	0.0017	0.2222
kˀ	saphon	2	12	0.0001	0.0001	0.0028	0.0017	0.2222
kˀ	upsid	10	12	0.0004	0.0001	0.0111	0.0017	0.2222
kː	ALL	154	154	0.0007	0.0007	0.0221	0.0221	0.7778
kː	aa	4	154	0.0003	0.0007	0.0103	0.0221	0.7778
kː	ea	12	154	0.0004	0.0007	0.0166	0.0221	0.7778
kː	jipa	34	154	0.0028	0.0007	0.1156	0.0221	0.7778
kː	lapsyd	2	154	0.0001	0.0007	0.0017	0.0221	0.7778
kː	phoible	92	154	0.0014	0.0007	0.0512	0.0221	0.7778
kː	saphon	4	154	0.0002	0.0007	0.0056	0.0221	0.7778
kː	upsid	6	154	0.0002	0.0007	0.0067	0.0221	0.7778
kˑ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kˑ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
kˡ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
kˡ	jipa	2	4	0.0002	0.0	0.0068	0.0006	0.2222
kˡ	saphon	2	4	0.0001	0.0	0.0028	0.0006	0.2222
kˢ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
kˢ	jipa	2	2	0.0002	0.0	0.0068	0.0003	0.1111
kˤ	ALL	6	6	0.0	0.0	0.0009	0.0009	0.3333
kˤ	ea	2	6	0.0001	0.0	0.0028	0.0009	0.3333
kˤ	lapsyd	2	6	0.0001	0.0	0.0017	0.0009	0.3333
kˤ	upsid	2	6	0.0001	0.0	0.0022	0.0009	0.3333
k̙	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
k̙	ra	4	4	0.0005	0.0	0.0204	0.0006	0.1111
k̚	ALL	148	148	0.0006	0.0006	0.0213	0.0213	0.2222
k̚	er	138	148	0.0073	0.0006	0.1765	0.0213	0.2222
k̚	phoible	10	148	0.0001	0.0006	0.0056	0.0213	0.2222
k̚ʷ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
k̚ʷ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
k̰	ALL	28	28	0.0001	0.0001	0.004	0.004	0.3333
k̰	lapsyd	6	28	0.0002	0.0001	0.0051	0.004	0.3333
k̰	phoible	18	28	0.0003	0.0001	0.01	0.004	0.3333
k̰	ra	4	28	0.0005	0.0001	0.0204	0.004	0.3333
k̰ʷ	ALL	8	8	0.0	0.0	0.0011	0.0011	0.1111
k̰ʷ	phoible	8	8	0.0001	0.0	0.0044	0.0011	0.1111
k̻	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
k̻	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
k͈	ALL	140	140	0.0006	0.0006	0.0201	0.0201	0.1111
k͈	er	140	140	0.0074	0.0006	0.179	0.0201	0.1111
kᶣ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
kᶣ	phoible	4	4	0.0001	0.0	0.0022	0.0006	0.1111
kⁿ	ALL	10	10	0.0	0.0	0.0014	0.0014	0.3333
kⁿ	jipa	2	10	0.0002	0.0	0.0068	0.0014	0.3333
kⁿ	lapsyd	2	10	0.0001	0.0	0.0017	0.0014	0.3333
kⁿ	phoible	6	10	0.0001	0.0	0.0033	0.0014	0.3333
kⁿʷ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
kⁿʷ	jipa	2	4	0.0002	0.0	0.0068	0.0006	0.2222
kⁿʷ	lapsyd	2	4	0.0001	0.0	0.0017	0.0006	0.2222
l	ALL	5008	5008	0.0214	0.0214	0.7195	0.7195	1.0
l	aa	366	5008	0.0255	0.0214	0.9433	0.7195	1.0
l	ea	542	5008	0.0176	0.0214	0.7486	0.7195	1.0
l	er	534	5008	0.0284	0.0214	0.6829	0.7195	1.0
l	jipa	278	5008	0.0227	0.0214	0.9456	0.7195	1.0
l	lapsyd	764	5008	0.0209	0.0214	0.6541	0.7195	1.0
l	phoible	1486	5008	0.0223	0.0214	0.8265	0.7195	1.0
l	ra	186	5008	0.0226	0.0214	0.949	0.7195	1.0
l	saphon	234	5008	0.0129	0.0214	0.3296	0.7195	1.0
l	upsid	618	5008	0.0222	0.0214	0.6867	0.7195	1.0
lʰ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.1111
lʰ	ea	4	4	0.0001	0.0	0.0055	0.0006	0.1111
lʱ	ALL	56	56	0.0002	0.0002	0.008	0.008	0.6667
lʱ	ea	4	56	0.0001	0.0002	0.0055	0.008	0.6667
lʱ	jipa	4	56	0.0003	0.0002	0.0136	0.008	0.6667
lʱ	lapsyd	6	56	0.0002	0.0002	0.0051	0.008	0.6667
lʱ	phoible	8	56	0.0001	0.0002	0.0044	0.008	0.6667
lʱ	ra	28	56	0.0034	0.0002	0.1429	0.008	0.6667
lʱ	upsid	6	56	0.0002	0.0002	0.0067	0.008	0.6667
lʲ	ALL	164	164	0.0007	0.0007	0.0236	0.0236	0.8889
lʲ	aa	2	164	0.0001	0.0007	0.0052	0.0236	0.8889
lʲ	ea	64	164	0.0021	0.0007	0.0884	0.0236	0.8889
lʲ	jipa	10	164	0.0008	0.0007	0.034	0.0236	0.8889
lʲ	lapsyd	20	164	0.0005	0.0007	0.0171	0.0236	0.8889
lʲ	phoible	40	164	0.0006	0.0007	0.0222	0.0236	0.8889
lʲ	ra	4	164	0.0005	0.0007	0.0204	0.0236	0.8889
lʲ	saphon	4	164	0.0002	0.0007	0.0056	0.0236	0.8889
lʲ	upsid	20	164	0.0007	0.0007	0.0222	0.0236	0.8889
lʲʷ	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
lʲʷ	jipa	2	4	0.0002	0.0	0.0068	0.0006	0.2222
lʲʷ	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
lʲː	ALL	4	4	0.0	0.0	0.0006	0.0006	0.2222
lʲː	ea	2	4	0.0001	0.0	0.0028	0.0006	0.2222
lʲː	phoible	2	4	0.0	0.0	0.0011	0.0006	0.2222
lʲˑ	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
lʲˑ	phoible	2	2	0.0	0.0	0.0011	0.0003	0.1111
lʷ	ALL	60	60	0.0003	0.0003	0.0086	0.0086	0.4444
lʷ	aa	6	60	0.0004	0.0003	0.0155	0.0086	0.4444
lʷ	er	20	60	0.0011	0.0003	0.0256	0.0086	0.4444
lʷ	jipa	2	60	0.0002	0.0003	0.0068	0.0086	0.4444
lʷ	phoible	32	60	0.0005	0.0003	0.0178	0.0086	0.4444
lʼ	ALL	6	6	0.0	0.0	0.0009	0.0009	0.1111
lʼ	phoible	6	6	0.0001	0.0	0.0033	0.0009	0.1111
lʼː	ALL	2	2	0.0	0.0	0.0003	0.0003	0.1111
