ID	Glottocode	Dataset	Name	Family	Macroarea	Latitude	Longitude	Num_Phonemes	Num_Consonants	Num_Vowels	Num_Clusters	Num_Long_Consonants	Num_Long_Vowels	Num_Diphthongs	Ratio	Phonemes	Consonants	Vowels	Diphthongs
abkh1244-2552	abkh1244	ea	Abkhaz	Abkhaz-Adyge	Eurasia	43.0562	41.1591	69	66	3	0	0	1	0	22.0000	ä äː b d dz dʑ dʑʷ dʒ dʷ f g gʲ gʷ j kʰ kʲʰ kʷʰ kʼ kʼʲ kʼʷ l m n pʰ pʼ qʼ qʼʲ qʼʷ r s tsʰ tsʼ tʃʰ tʃʲ tʃʲʰ tʃʲʷʰ tʃʼ tʃʼʲʷ tʰ tʷʰ tʼ tʼʷ v w z ħ ħʷ ɖʐ ɥˤ ɨ ʁ ʁʲ ʁʷ ʂ ʃ ʃʲ ʃʲʷ ʃʷ ʈʂʰ ʈʂʼ ʐ ʒ ʒʲ ʒʷ χ χʲ χʷ χʷˤ χˤ	b d dz dʑ dʑʷ dʒ dʷ f g gʲ gʷ j kʰ kʲʰ kʷʰ kʼ kʼʲ kʼʷ l m n pʰ pʼ qʼ qʼʲ qʼʷ r s tsʰ tsʼ tʃʰ tʃʲ tʃʲʰ tʃʲʷʰ tʃʼ tʃʼʲʷ tʰ tʷʰ tʼ tʼʷ v w z ħ ħʷ ɖʐ ɥˤ ʁ ʁʲ ʁʷ ʂ ʃ ʃʲ ʃʲʷ ʃʷ ʈʂʰ ʈʂʼ ʐ ʒ ʒʲ ʒʷ χ χʲ χʷ χʷˤ χˤ	ä äː ɨ	
abkhaz_abkh1244	abkh1244	lapsyd	Abkhaz	Abkhaz-Adyge	Eurasia	43.0562	41.1591	61	58	3	0	0	1	0	19.3333	a aː b c cʼ ç d dz dzʷ dʒ dʷ f g gʷ j k kʷ kʼ kʼʷ l m n p pʼ qʼ qʼʲ qʼʷ r s t ts tsʷ tsʼ tsʼʷ tʃ tʃʼ tʷ tʼ tʼʷ v w x xʷ z ħ ħʷ ɖʐ ɟ ɣ ɣʷ ɨ ʂ ʃ ʃʷ ʈʂ ʈʂʼ ʐ ʒ ʒʷ ʕʷ ʝ	b c cʼ ç d dz dzʷ dʒ dʷ f g gʷ j k kʷ kʼ kʼʷ l m n p pʼ qʼ qʼʲ qʼʷ r s t ts tsʷ tsʼ tsʼʷ tʃ tʃʼ tʷ tʼ tʼʷ v w x xʷ z ħ ħʷ ɖʐ ɟ ɣ ɣʷ ʂ ʃ ʃʷ ʈʂ ʈʂʼ ʐ ʒ ʒʷ ʕʷ ʝ	a aː ɨ	
abuj1237-1701	abuj1237	ra	Abujmaria	Dravidian	Eurasia	19.7875	79.9144	39	22	17	0	0	10	0	1.2941	a aː aˑ b cç d̪ e eː eˑ g h i iː iˑ j k l m n o oː oˑ p r r̠ʲ s t̪ u uː uˑ w ŋ ɖ ə ɟʝ ɨ ɲ ɳ ʈ	b cç d̪ g h j k l m n p r r̠ʲ s t̪ w ŋ ɖ ɟʝ ɲ ɳ ʈ	a aː aˑ e eː eˑ i iː iˑ o oː oˑ u uː uˑ ə ɨ	
abun_abun1252	abun1252	lapsyd	Abun		Papunesia	-0.5707	132.4160	25	20	5	0	0	0	0	4.0000	a b d dʒ e f g i j k m n o p r s t u w ɲ ʃ ⁿb ⁿd ⁿdʒ ⁿg	b d dʒ f g j k m n p r s t w ɲ ʃ ⁿb ⁿd ⁿdʒ ⁿg	a e i o u	
abur1243-1521	abur1243	phoible	Abure	Atlantic-Congo	Africa	5.2153	-3.6412	34	20	14	0	0	0	0	1.4286	a ã b c d e f gb h i ĩ j k kp l m n o p s t u ũ v w ŋ ɔ ɛ ɟ ɪ ɪ̃ ɲ ʊ ʊ̃	b c d f gb h j k kp l m n p s t v w ŋ ɟ ɲ	a ã e i ĩ o u ũ ɔ ɛ ɪ ɪ̃ ʊ ʊ̃	
acat1239-587	acat1239	upsid	Acatepec Me'phaa	Otomanguean	North America	17.1034	-99.0602	30	20	10	0	0	0	0	2.0000	a ã b dʒ d̪ e̞ ẽ̞ g h i ĩ j k l m n̪ o̞ õ̞ p r s ts tʃ t̪ u ũ w ɸ ʃ ʔ	b dʒ d̪ g h j k l m n̪ p r s ts tʃ t̪ w ɸ ʃ ʔ	a ã e̞ ẽ̞ i ĩ o̞ õ̞ u ũ	
acha1250-1803	acha1250	saphon	Achagua	Arawakan	South America	4.3865	-72.2005	29	19	10	0	0	5	0	1.9000	a aː b d e eː h i iː j k kʷ l m n o oː p s t ts tʃ u uː w ɾ ʃ ʒ ʔ	b d h j k kʷ l m n p s t ts tʃ w ɾ ʃ ʒ ʔ	a aː e eː i iː o oː u uː	
ache1245-1428	ache1245	phoible	Acheron	Narrow Talodi	Africa	10.8827	30.3187	38	18	20	0	1	10	0	0.9000	a aː c e eː i iː j k kʷ l m n o oː p r s t ts t̪ u uː w ŋ ŋʷ ɔ ɔː ə əː ɛ ɛː ɪ ɪː ɲ ɲː ʊ ʊː	c j k kʷ l m n p r s t ts t̪ w ŋ ŋʷ ɲ ɲː	a aː e eː i iː o oː u uː ɔ ɔː ə əː ɛ ɛː ɪ ɪː ʊ ʊː	
ache_ache1246	ache1246	lapsyd	Ache	Tupian	South America	-25.5865	-56.4697	24	12	12	0	0	0	0	1.0000	a ã e ẽ i ĩ j k o õ p t tʃ u ũ ɨ ɨ̃ ɾ ʔ β̞ ⁿb ⁿd ⁿdʒ ⁿg	j k p t tʃ ɾ ʔ β̞ ⁿb ⁿd ⁿdʒ ⁿg	a ã e ẽ i ĩ o õ u ũ ɨ ɨ̃	
ache1246-2068	ache1246	saphon	Aché	Tupian	South America	-25.5865	-56.4697	34	22	12	0	0	0	0	1.8333	a ã b d dʒ e ẽ g i ĩ j k m n o õ p t tʃ u ũ v w ɨ ɨ̃ ɲ ɸ ɾ ʔ β ⁿb ⁿd ⁿdʒ ⁿg	b d dʒ g j k m n p t tʃ v w ɲ ɸ ɾ ʔ β ⁿb ⁿd ⁿdʒ ⁿg	a ã e ẽ i ĩ o õ u ũ ɨ ɨ̃	
ache1246-348	ache1246	upsid	Aché	Tupian	South America	-25.5865	-56.4697	21	11	10	0	0	0	0	1.1000	a ã dʒ e̞ ẽ̞ i ĩ k m o̞ õ̞ p t tʃ u ũ ɺ β ⁿb ⁿd ⁿg	dʒ k m p t tʃ ɺ β ⁿb ⁿd ⁿg	a ã e̞ ẽ̞ i ĩ o̞ õ̞ u ũ	
achirabinaldialect_achi1256	achi1256	lapsyd	Achi', Rabinal dialect	Mayan	North America	15.0730	-90.3513	31	22	9	0	0	5	0	2.4444	a aː e eː iː j k kʼ l m n o oː p q qʼ s t ts tsʼ tʃ tʃʼ tʼ u uː w ɓ ɾ ʃ ʔ χ	j k kʼ l m n p q qʼ s t ts tsʼ tʃ tʃʼ tʼ w ɓ ɾ ʃ ʔ χ	a aː e eː iː o oː u uː	
achi1257-1093	achi1257	phoible	Acehnese	Austronesian	Eurasia	3.9076	96.6032	55	21	17	0	0	0	17	0.6176	a ai ã ãi b c d e f g h i iə ĩ ĩə j k l m n o oi p r s t u ui uə ũ ũə w ŋ ɔ ɔi ɔə ɔ̃ ə əi ɛ ɛə ɛ̃ ɛ̃ə ɟ ɯ ɯə ɯ̃ ɯ̃ə ɲ ʃ ʌ ʌi ʌə ʌ̃ ʔ	b c d f g h j k l m n p r s t w ŋ ɟ ɲ ʃ ʔ	a ã e i ĩ o u ũ ɔ ɔ̃ ə ɛ ɛ̃ ɯ ɯ̃ ʌ ʌ̃	ai ãi iə ĩə oi ui uə ũə ɔi ɔə əi ɛə ɛ̃ə ɯə ɯ̃ə ʌi ʌə
achumawi_achu1247	achu1247	lapsyd	Achumawi	Palaihnihan	North America	41.0979	-121.1910	39	29	10	0	0	5	0	2.9000	a aː h i iː j j̰ k kʰ kʼ l l̰ m m̰ n n̰ p pʰ pʼ q qʰ qʼ s t tʃ tʃʰ tʃʼ tʰ tʼ u uː w w̰ ɔ ɔː ɛ ɛː ʔ ʜ	h j j̰ k kʰ kʼ l l̰ m m̰ n n̰ p pʰ pʼ q qʰ qʼ s t tʃ tʃʰ tʃʼ tʰ tʼ w w̰ ʔ ʜ	a aː i iː u uː ɔ ɔː ɛ ɛː	
achu1247-199	achu1247	upsid	Achumawi	Palaihnihan	North America	41.0979	-121.1910	23	17	6	0	0	0	0	2.8333	a dʒ e̞ h i j k l m n o̞ p q r s t u w x ə ʃ ʔ χ	dʒ h j k l m n p q r s t w x ʃ ʔ χ	a e̞ i o̞ u ə	
achu1248-1946	achu1248	saphon	Achuar-Shiwiar	Chicham	South America	-2.8265	-77.2641	27	15	12	0	0	4	0	1.2500	a aː ã i iː ĩ j k m n p s t ts tʃ u uː ũ w x ŋ ɨ ɨː ɨ̃ ɾ ʃ ʔ	j k m n p s t ts tʃ w x ŋ ɾ ʃ ʔ	a aː ã i iː ĩ u uː ũ ɨ ɨː ɨ̃	
acol1236-1433	acol1236	phoible	Acoli	Nilotic	Africa	3.5774	32.5147	26	17	9	0	0	0	0	1.8889	b c d d̪ e g j k l m n o p t u w ŋ ɑ ɔ ə ɛ ɟ ɪ ɲ ɾ ʊ	b c d d̪ g j k l m n p t w ŋ ɟ ɲ ɾ	e o u ɑ ɔ ə ɛ ɪ ʊ	
adam1253-712	adam1253	aa	Adamawa Fulfulde	Atlantic-Congo	Africa	8.1403	13.0773	34	24	10	0	0	5	0	2.4000	a aː b c d e eː f g h i iː j k l m n o oː p r s t u uː v w ŋ ɓ ɗ ɟ ɲ ʔ ʔʲ	b c d f g h j k l m n p r s t v w ŋ ɓ ɗ ɟ ɲ ʔ ʔʲ	a aː e eː i iː o oː u uː	
adam1253-1234	adam1253	phoible	Adamawa Fulfulde	Atlantic-Congo	Africa	8.1403	13.0773	36	27	9	0	0	4	0	3.0000	a aː b d dʒ e eː g h i iː j k l m n o p r s t tʃ u uː w ŋ ɓ ɗ ɲ ɸ ʔ β ⁿb ⁿd ⁿdʒ ⁿg	b d dʒ g h j k l m n p r s t tʃ w ŋ ɓ ɗ ɲ ɸ ʔ β ⁿb ⁿd ⁿdʒ ⁿg	a aː e eː i iː o u uː	
adam1253-1241	adam1253	phoible	Adamawa Fulfulde	Atlantic-Congo	Africa	8.1403	13.0773	47	37	10	0	10	5	0	3.7000	a aː b bː d dʒ dː e eː f g gː h i iː j k kː l lː m mː n nː o oː q r s t tʃ tʃː u uː w ŋ ɓ ɓː ɗ ɗː ɲ ʒ ʔʲ ⁿb ⁿd ⁿdʒ ⁿg	b bː d dʒ dː f g gː h j k kː l lː m mː n nː q r s t tʃ tʃː w ŋ ɓ ɓː ɗ ɗː ɲ ʒ ʔʲ ⁿb ⁿd ⁿdʒ ⁿg	a aː e eː i iː o oː u uː	
adam1253-1253	adam1253	phoible	Adamawa Fulfulde	Atlantic-Congo	Africa	8.1403	13.0773	39	29	10	0	0	5	0	2.9000	a aː b d dʒ e eː f g h i iː j k l m n o oː p q r s t tʃ u uː v w ŋ ɓ ɗ ɲ ʔ ʔʲ ⁿb ⁿd ⁿdʒ ⁿg	b d dʒ f g h j k l m n p q r s t tʃ v w ŋ ɓ ɗ ɲ ʔ ʔʲ ⁿb ⁿd ⁿdʒ ⁿg	a aː e eː i iː o oː u uː	
adan1251-1090	adan1251	phoible	Adang	Timor-Alor-Pantar	Papunesia	-8.1896	124.4480	40	18	12	0	0	5	10	0.8182	a ai aɛ aː b c d e eu f g h i iu iː k l m n o oi ou oː p r s t u ui uː ŋ ɔ ɔi ɔu ɔː ɛ ɛi ɟ ɲ ʔ	b c d f g h k l m n p r s t ŋ ɟ ɲ ʔ	a aː e i iː o oː u uː ɔ ɔː ɛ	ai aɛ eu iu oi ou ui ɔi ɔu ɛi
adio1239-650	adio1239	aa	Adioukrou	Atlantic-Congo	Africa	5.3823	-4.5252	28	21	7	0	0	0	0	3.0000	a b d dz e f g gb h i j k kp l m n o p r s t tʃ u w ŋ ɔ ɛ ɲ	b d dz f g gb h j k kp l m n p r s t tʃ w ŋ ɲ	a e i o u ɔ ɛ	
adjukru_adio1239	adio1239	lapsyd	Adjukru	Atlantic-Congo	Africa	5.3823	-4.5252	28	21	7	0	0	0	0	3.0000	a b d dʒ e f g gb h i j k kp l m n o p r s t tʃ u w ŋ ɔ ɛ ɲ	b d dʒ f g gb h j k kp l m n p r s t tʃ w ŋ ɲ	a e i o u ɔ ɛ	
adio1239-1527	adio1239	phoible	Adioukrou	Atlantic-Congo	Africa	5.3823	-4.5252	28	21	7	0	0	0	0	3.0000	a b d dʒ e f g gb h i j k kp l m n o p r s t tʃ u w ŋ ɔ ɛ ɲ	b d dʒ f g gb h j k kp l m n p r s t tʃ w ŋ ɲ	a e i o u ɔ ɛ	
adny1235-2931	adny1235	er	Adnyamathanha	Pama-Nyungan	Australia	-30.1451	138.6710	27	24	3	0	0	0	0	8.0000	a i j k l l̪ m n n̪ p r t t̪ u w ð ŋ ȴ ȵ ȶ ɭ ɳ ɻ ɽ ɾ ʈ β	j k l l̪ m n n̪ p r t t̪ w ð ŋ ȴ ȵ ȶ ɭ ɳ ɻ ɽ ɾ ʈ β	a i u	
adyg1241-2349	adyg1241	ea	Adyghe	Abkhaz-Adyge	Eurasia	44.0000	39.3300	58	55	3	0	0	0	0	18.3333	a b d dz dʑ dʑʷ e f gʷ h j k kʷ kʼ kʼʷ m n p pʼ pʼʷ q qʷ r s t ts tsʼ tɕ tɕʼ tʃ tʃʲʷ tʃʼ tʼ tʼʷ w x xʷ z ɕ ə ɣ ɬ ɬʼ ɮ ʁ ʁʷ ʃ ʃʲ ʃʲʷ ʃʼʲ ʃʼʲʷ ʑ ʒ ʒʲ ʔʼ ʔʼʷ χ χʷ	b d dz dʑ dʑʷ f gʷ h j k kʷ kʼ kʼʷ m n p pʼ pʼʷ q qʷ r s t ts tsʼ tɕ tɕʼ tʃ tʃʲʷ tʃʼ tʼ tʼʷ w x xʷ z ɕ ɣ ɬ ɬʼ ɮ ʁ ʁʷ ʃ ʃʲ ʃʲʷ ʃʼʲ ʃʼʲʷ ʑ ʒ ʒʲ ʔʼ ʔʼʷ χ χʷ	a e ə	
adzera_adze1240	adze1240	lapsyd	Adzera	Austronesian	Papunesia	-6.3939	146.2940	28	23	3	0	0	0	2	4.6000	a ai au b d dz f g h i j k m n p s t ts u w ŋ ŋ̰ ɾ ʔ ⁿk ⁿp ⁿt ⁿts	b d dz f g h j k m n p s t ts w ŋ ŋ̰ ɾ ʔ ⁿk ⁿp ⁿt ⁿts	a i u	ai au
adze1240-200	adze1240	upsid	Adzera	Austronesian	Papunesia	-6.3939	146.2940	25	18	7	0	0	3	0	2.5714	a aː b d dz f g h i iː j kʰ m n o̞ o̞ː pʰ r s tsʰ tʰ ŋ ɯ ɰ ʔ	b d dz f g h j kʰ m n pʰ r s tsʰ tʰ ŋ ɰ ʔ	a aː i iː o̞ o̞ː ɯ	
afad1236-198	afad1236	upsid	Afade	Afro-Asiatic	Africa	12.0551	14.6343	36	27	9	0	0	0	0	3.0000	a̟ b cʼ d e f g gb h i j k kp kʼ l m n o p pfʼ r s t tθʼ u w ɑ ɓ ɔ ɗ ɛ ɟ ɤ ɬ ʃ ʔ	b cʼ d f g gb h j k kp kʼ l m n p pfʼ r s t tθʼ w ɓ ɗ ɟ ɬ ʃ ʔ	a̟ e i o u ɑ ɔ ɛ ɤ	
afar1241-1342	afar1241	phoible	Afar	Afro-Asiatic	Africa	12.2281	41.8083	27	17	10	0	0	4	0	1.7000	a b d e eː f g h i iː j k l m n o oː r s t u uː w ħ ɖ ʌ ʕ	b d f g h j k l m n r s t w ħ ɖ ʕ	a e eː i iː o oː u uː ʌ	
afit1238-1295	afit1238	phoible	Afitti	Nyimang	Africa	12.4460	30.7611	23	17	6	0	0	0	0	2.8333	b c d e f g i j k l m n o r s t u w ŋ ɑ ə ɟ ɲ	b c d f g j k l m n r s t w ŋ ɟ ɲ	e i o u ɑ ə	
afri1274-1395	afri1274	phoible	Afrikaans	Indo-European	Africa	-22.0000	30.0000	39	16	16	0	0	8	7	0.6957	a ai aː b d eɘ f i iː j k l m n oɘ p r s t u uː v x y yː øɘ ŋ œ œi œu œː ɔ ɔː ɘi ɛ ɛː ɦ ɪ̝ ɪ̝ː	b d f j k l m n p r s t v x ŋ ɦ	a aː i iː u uː y yː œ œː ɔ ɔː ɛ ɛː ɪ̝ ɪ̝ː	ai eɘ oɘ øɘ œi œu ɘi
aghem_aghe1239	aghe1239	lapsyd	Aghem	Atlantic-Congo	Africa	6.3896	10.0807	36	26	10	0	0	0	0	2.6000	a b bv d dz dʒ e f g gb i̝ j k kp l m n o pf s t ts tʃ u̝ w z ŋ ŋm ɒ ɔ ɛ ɣ ɪ ɲ ʊ ʔ	b bv d dz dʒ f g gb j k kp l m n pf s t ts tʃ w z ŋ ŋm ɣ ɲ ʔ	a e i̝ o u̝ ɒ ɔ ɛ ɪ ʊ	
aghe1239-1524	aghe1239	phoible	Aghem	Atlantic-Congo	Africa	6.3896	10.0807	47	28	19	0	0	9	0	1.4737	a aː b bv d dz dʒ e eː f g gb i iː j kp kʰ l m n o oː pf pʰ ts tʃ tʰ u uː v w ŋ ŋm ɒ ɒː ɔ ɔː ɛ ɛː ɣ ɪ ɪː ɲ ʃ ʊ ʒ ʔ	b bv d dz dʒ f g gb j kp kʰ l m n pf pʰ ts tʃ tʰ v w ŋ ŋm ɣ ɲ ʃ ʒ ʔ	a aː e eː i iː o oː u uː ɒ ɒː ɔ ɔː ɛ ɛː ɪ ɪː ʊ	
aghe1239-204	aghe1239	upsid	Aghem	Atlantic-Congo	Africa	6.3896	10.0807	35	25	10	0	0	0	0	2.5000	a b bv d dz dʒ e f g gb i j k kp l m n o s t ts tʃ u w z ŋ ŋm ɒ ɔ ɛ ɣ ɪ ɲ ʊ ʔ	b bv d dz dʒ f g gb j k kp l m n s t ts tʃ w z ŋ ŋm ɣ ɲ ʔ	a e i o u ɒ ɔ ɛ ɪ ʊ	
aghu1254-2880	aghu1254	er	Aghu Tharnggalu	Pama-Nyungan	Australia	-13.7350	142.4260	27	20	7	0	0	0	0	2.8571	a e i j k̚ k͈ l̺ m n̪ n̺ o p̚ p͈ r̺ t̪̚ t̪͈ t̺̚ t̺͈ u w ŋ ȵ ȶ̚ ȶ͈ ə ɨ ɹ̺	j k̚ k͈ l̺ m n̪ n̺ p̚ p͈ r̺ t̪̚ t̪͈ t̺̚ t̺͈ w ŋ ȵ ȶ̚ ȶ͈ ɹ̺	a e i o u ə ɨ	
agua1253-1947	agua1253	saphon	Aguaruna	Chicham	South America	-5.3004	-77.9218	20	12	8	0	0	0	0	1.5000	a ã h i ĩ k m n p s t ts tʃ u ũ ɨ ɨ̃ ɾ ʃ ʔ	h k m n p s t ts tʃ ɾ ʃ ʔ	a ã i ĩ u ũ ɨ ɨ̃	
ahan1243-1400	ahan1243	phoible	Ahanta	Atlantic-Congo	Africa	4.8515	-1.9466	38	24	14	0	0	0	0	1.7143	a ã b cç cçʷ d̪ e f g gʷ h i ĩ j k kp l m n o s t̪ u ũ w ŋ ɔ ɛ ɟʝ ɟʝʷ ɪ ɪ̃ ɲ ɲʷ ʃ ʃʷ ʊ ʊ̃	b cç cçʷ d̪ f g gʷ h j k kp l m n s t̪ w ŋ ɟʝ ɟʝʷ ɲ ɲʷ ʃ ʃʷ	a ã e i ĩ o u ũ ɔ ɛ ɪ ɪ̃ ʊ ʊ̃	
ahan1244-1544	ahan1244	phoible	Àhàn	Atlantic-Congo	Africa	7.4414	6.0090	40	26	14	0	0	0	0	1.8571	a ã b d dʒ e ẽ f g gb h i ĩ j jʷ k kp l m n o õ p r s t tʃ u ũ v w z ŋ ɔ ɔ̃ ɛ ɛ̃ ɲ ʃ ʒ	b d dʒ f g gb h j jʷ k kp l m n p r s t tʃ v w z ŋ ɲ ʃ ʒ	a ã e ẽ i ĩ o õ u ũ ɔ ɔ̃ ɛ ɛ̃	
aheu1239-1014	aheu1239	phoible	Thavung	Austroasiatic	Eurasia	17.7655	104.2290	72	22	44	0	0	22	6	0.4400	a aː a̤ a̤ː b c cʰ d e eː e̤ e̤ː f h i ia iː i̤ i̤a i̤ː j k kʰ l m n o oː o̤ o̤ː p pʰ s t tʰ u ua uː ṳ ṳa ṳː w ŋ ɑ ɑː ɑ̤ ɑ̤ː ɔ ɔː ɔ̤ ɔ̤ː ɛ ɛː ɛ̤ ɛ̤ː ɤ ɤː ɤ̤ ɤ̤ː ɯ ɯa ɯː ɯ̤ ɯ̤a ɯ̤ː ɲ ɾ ʌ ʌː ʌ̤ ʌ̤ː ʔ	b c cʰ d f h j k kʰ l m n p pʰ s t tʰ w ŋ ɲ ɾ ʔ	a aː a̤ a̤ː e eː e̤ e̤ː i iː i̤ i̤ː o oː o̤ o̤ː u uː ṳ ṳː ɑ ɑː ɑ̤ ɑ̤ː ɔ ɔː ɔ̤ ɔ̤ː ɛ ɛː ɛ̤ ɛ̤ː ɤ ɤː ɤ̤ ɤ̤ː ɯ ɯː ɯ̤ ɯ̤ː ʌ ʌː ʌ̤ ʌ̤ː	ia i̤a ua ṳa ɯa ɯ̤a
ahtna_ahte1237	ahte1237	lapsyd	Ahtna	Athabaskan-Eyak-Tlingit	North America	61.7068	-144.8890	37	27	10	0	0	5	0	2.7000	aː h hʷ iː k kʰ kʼ n oː p q qʰ qʼ s t ts tsʰ tsʼ tɬ tɬʰ tɬʼ tʰ tʼ uː z æː ŋ ɐ ɔ ɛ ɪ ɬ ɮ ʁ ʊ ʔ χ	h hʷ k kʰ kʼ n p q qʰ qʼ s t ts tsʰ tsʼ tɬ tɬʰ tɬʼ tʰ tʼ z ŋ ɬ ɮ ʁ ʔ χ	aː iː oː uː æː ɐ ɔ ɛ ɪ ʊ	
ahte1237-206	ahte1237	upsid	Ahtena	Athabaskan-Eyak-Tlingit	North America	61.7068	-144.8890	35	30	5	0	0	0	0	6.0000	a b d dz dɮ e̞ g h i j j̊ kʰ kʼ m n o̞ qʰ qʼ s tsʰ tsʼ tɬʰ tɬʼ tʰ tʼ u z ŋ ɢ ɬ ɮ ʁ ʍ ʔ χ	b d dz dɮ g h j j̊ kʰ kʼ m n qʰ qʼ s tsʰ tsʼ tɬʰ tɬʼ tʰ tʼ z ŋ ɢ ɬ ɮ ʁ ʍ ʔ χ	a e̞ i o̞ u	
aika1237-2118	aika1237	saphon	Aikanã		South America	-12.6695	-60.5353	25	15	10	0	0	0	0	1.5000	a ã b d e ẽ i ĩ j k m n o p t ts tʶ u ũ w y ɲ ɹ̪ ɾ ʔ	b d j k m n p t ts tʶ w ɲ ɹ̪ ɾ ʔ	a ã e ẽ i ĩ o u ũ y	
